language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_source_key,candidate_1_title,candidate_1_authors,candidate_2_score,candidate_2_source_key,candidate_2_title,candidate_2_authors,candidate_3_score,candidate_3_source_key,candidate_3_title,candidate_3_authors,acquisition_state,resolution_reason
LA,HISTORY,1,Salluste,Bellum Catilinae,40,NO_MATCH,0.4484,0.4651,0.4348,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4484,/books/OL12823125M,Carmina,Claudius Claudianus,0.4349,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.4349,/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Salluste,Bellum Iugurthinum,41,NO_MATCH,0.3989,0.6087,0.2273,/books/OL12823230M,"Naturalis Historiae, vol. II",,Pliny the Elder,9783598716515,1998,K.G. SAUR VERLAG,KEEP_CORE,0.3989,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,0.3765,/books/OL3243753M,Pinoculus Latinus,Carlo Collodi,0.3762,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Suétone,De Vita Caesarum,42,NO_MATCH,0.4287,0.3415,0.5000,/books/OL12850622M,Dictata ad ius Hodiernum,,Jacobus Voorda,9789069844435,2006,Edita-the Publishing House of the Royal,KEEP_CORE,0.4287,/books/OL12850622M,Dictata ad ius Hodiernum,Jacobus Voorda,0.4180,/books/OL6784356M,Cattus petasatus,Dr. Seuss | Simon Mugford,0.4147,/books/OL7022722M,Metamorphoses,Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Jules César,De Bello Gallico,43,NO_MATCH,0.4585,0.6500,0.3019,/books/OL619549M,The letters of January to April 43 BC,,Cicero,9780856686313,1995,Aris & Phillips,KEEP_CORE,0.4585,/books/OL619549M,The letters of January to April 43 BC,Cicero,0.4425,/books/OL8311025M,Cicero,Cicero,0.4195,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,HISTORY,1,Jules César,De Bello Civili,44,NO_MATCH,0.4463,0.6341,0.2927,/books/OL12823230M,"Naturalis Historiae, vol. II",,Pliny the Elder,9783598716515,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4463,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,0.4463,/books/OL12823234M,"Naturalis Historiae, vol. VI",Pliny the Elder,0.4406,/books/OL619549M,The letters of January to April 43 BC,Cicero,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,LATE_MEDIEVAL_RENAISSANCE,2,Thomas d'Aquin,Summa Theologiae,45,NO_MATCH,0.4010,0.4211,0.3846,/books/OL23349269M,Tragoediae,,Seneca the Younger,,1921,In aedibus B.G. Teubneri,KEEP_CORE,0.4010,/books/OL23349269M,Tragoediae,Seneca the Younger,0.3889,/books/OL7105458M,The Utopia of Sir Thomas More,Thomas More,0.3848,/books/OL5944510M,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,LATE_MEDIEVAL_RENAISSANCE,2,Érasme,Moriae Encomium,46,NO_MATCH,0.4083,0.5000,0.3333,/books/OL23269455M,"Aeneid, IV",,H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,,1900,Clive,KEEP_CORE,0.4083,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.4026,/books/OL12449141M,De Sigaris Pharaonis,Hergé,0.3915,/books/OL23350586M,"Tristia, III",Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,LATE_MEDIEVAL_RENAISSANCE,2,Pétrarque,Secretum,48,NO_MATCH,0.4033,0.3529,0.4444,/books/OL20455339M,Ysengrimus,,Ernst Voigt | Nivardus,,1884,Buchhandlung des Waisenhauses,KEEP_CORE,0.4033,/books/OL20455339M,Ysengrimus,Ernst Voigt | Nivardus,0.3914,/books/OL6777822M,Regulus,Antoine de Saint-Exupéry,0.3406,/books/OL12850622M,Dictata ad ius Hodiernum,Jacobus Voorda,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,LATE_MEDIEVAL_RENAISSANCE,2,Pic de la Mirandole,Oratio de Hominis Dignitate,49,NO_MATCH,0.4358,0.5455,0.3462,/books/OL12823229M,"Naturalis Historiae, vol. I",,Pliny the Elder,9783598716508,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4358,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.4358,/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,0.4322,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,LATE_MEDIEVAL_RENAISSANCE,2,Bède le Vénérable,Historia Ecclesiastica Gentis Anglorum,50,NO_MATCH,0.4746,0.3478,0.5783,/books/OL12823091M,Polistoria de Virtutibus et Dotibus Romanorum,,Joannes Caballinus de Cerronibus,9783598711282,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4746,/books/OL12823091M,Polistoria de Virtutibus et Dotibus Romanorum,Joannes Caballinus de Cerronibus,0.4681,/books/OL24181898M,Boethius' Consolation of philosophy,Boethius,0.4036,/books/OL18309835M,Collectio psalterii Bedae Venerabili adscripta,Gerald Browne,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,SCIENCE_CIVILISATION,2,Vitruve,De Architectura,52,NO_MATCH,0.4777,0.6250,0.3571,/books/OL7022722M,Metamorphoses,,Ovid,,1916,William Heinemann,KEEP_CORE,0.4777,/books/OL7022722M,Metamorphoses,Ovid,0.4571,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.4014,/books/OL12449141M,De Sigaris Pharaonis,Hergé,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,SCIENCE_CIVILISATION,2,Nicolas Copernic,De Revolutionibus Orbium Coelestium,53,NO_MATCH,0.4572,0.5556,0.3768,/books/OL24181898M,Boethius' Consolation of philosophy,,Boethius,,1897,D. Nutt,KEEP_CORE,0.4572,/books/OL24181898M,Boethius' Consolation of philosophy,Boethius,0.4259,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.4180,/books/OL12823091M,Polistoria de Virtutibus et Dotibus Romanorum,Joannes Caballinus de Cerronibus,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,SCIENCE_CIVILISATION,2,Isaac Newton,Philosophiae Naturalis Principia Mathematica,54,NO_MATCH,0.3862,0.5263,0.2716,/books/OL619549M,The letters of January to April 43 BC,,Cicero,9780856686313,1995,Aris & Phillips,KEEP_CORE,0.3862,/books/OL619549M,The letters of January to April 43 BC,Cicero,0.3839,/books/OL7833376M,A Bear Called Paddington (BCP Latin Texts),Michael Bond,0.3690,/books/OL7105458M,The Utopia of Sir Thomas More,Thomas More,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
