source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,review_group,decision,reason
/books/OL16431102M,Microslaven,,Douglas Coupland,1,9789029050265,1996,Meulenhoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL18556379M,Vrienden in coma,,Douglas Coupland,1,9789041710628,1998,Meulenhoff,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL33336086M,De avonturen van Marco Polo,,Elisabetta Dami,1,9789085921981,2012,De Wakkere Muis,Biographie | Voyage,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35327964M,De ontdekking van de superparel,,Elisabetta Dami,1,9789085921462,2011,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35332226M,De roof van de gi-ga-diamant,,Elisabetta Dami,1,9789085921387,2010,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL45817536M,De sprekende berg (Geronimo Stilton-reeks),,Elisabetta Dami,1,9789085920663,2017,De Wakkere Muis,Fiction | Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35332040M,De stenen moppentapper,,Elisabetta Dami,1,9789085922599,2014,De Wakkere Muis,Fiction | Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35329346M,De Thea Sisters op avontuur,,Elisabetta Dami,1,9789085920618,2008,De Wakkere Muis,Fiction | Jeunesse | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35326106M,De verborgen stad,,Elisabetta Dami,1,9789085920885,2009,De Wakkere Muis,Fiction | Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35331808M,Een berg op pootjes,,Elisabetta Dami,1,9789085922438,2014,De Wakkere Muis,Fiction | Jeunesse,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
