language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_title,candidate_1_authors,candidate_1_source_key,candidate_2_score,candidate_2_title,candidate_2_authors,candidate_2_source_key,candidate_3_score,candidate_3_title,candidate_3_authors,candidate_3_source_key
IT,TWENTIETH_CENTURY,1,Dino Buzzati,Il deserto dei Tartari,86,NO_MATCH,0.4040,0.2069,0.5652,/books/OL36636673M,Il manoscritto di Brodie,,Jorge Luis Borges,9788845914492,2010,Adelphi,KEEP_TRANSLATION,0.4040,Il manoscritto di Brodie,Jorge Luis Borges,/books/OL36636673M,0.3908,Il mirabile e l'artificio,Monica Pugliara,/books/OL22603526M,0.3870,Ritorno a casa,Hamilton Basso,/books/OL23042421M
IT,TWENTIETH_CENTURY,1,Dino Buzzati,Sessanta racconti,87,NO_MATCH,0.4727,0.4167,0.5185,/books/OL23638966M,beata riva,trattoto del'oblio,Angelo Conti,,1900,Fratelli Treves,KEEP_CORE,0.4727,beata riva,Angelo Conti,/books/OL23638966M,0.4561,Tutti i racconti,Roald Dahl,/books/OL26445408M,0.4007,Antoni Tàpies.,Antoni Tàpies,/books/OL19153146M
IT,TWENTIETH_CENTURY,1,Curzio Malaparte,Kaputt,88,NO_MATCH,0.4099,0.3871,0.4286,/books/OL21684124M,Magritte,la storia centrale,Jacques Dopagne,9788881188949,2001,Skira,KEEP_TRANSLATION,0.4099,Magritte,Jacques Dopagne,/books/OL21684124M,0.3688,Krull,Alan Dean Foster,/books/OL62359815M,0.3452,Taipi,Herman Melville,/books/OL27108351M
IT,TWENTIETH_CENTURY,1,Curzio Malaparte,La pelle,89,NO_MATCH,0.4455,0.2917,0.5714,/books/OL22494211M,La pace è allegrezza,l'ordinamento di una città operosa sull'esempio dell'affresco Il buon governo di Ambrogio Lorenzetti da Siena = [Frieden ist Freude : die Ordnung einer geschäftigen Handelsstadt am Beispiel des Freskos Die Gute Regierung des Ambrogio Lorenzetti zu Siena],Vittorio Luisa Beonio-Brocchieri,9788886507745,2002,Il Leccio,KEEP_CORE,0.4455,La pace è allegrezza,Vittorio Luisa Beonio-Brocchieri,/books/OL22494211M,0.4343,La fine della vicenda,Alan Dean Foster,/books/OL62359803M,0.3826,Diario della guerra del maiale,Adolfo Bioy Casares,/books/OL17496380M
IT,TWENTIETH_CENTURY,1,Giorgio Bassani,Gli occhiali d'oro,90,NO_MATCH,0.4383,0.4375,0.4390,/books/OL21708275M,Nei limiti del compasso,Locke e le origini della cultura politica e costituzionale americana,Brunella Casalini,9788884830890,2002,Mimesis,KEEP_CORE,0.4383,Nei limiti del compasso,Brunella Casalini,/books/OL21708275M,0.4378,I Colori del Divino,Biblioteca Riccardiana,/books/OL13434626M,0.4029,Occasione d'amore,Nadine Gordimer,/books/OL20651229M
IT,TWENTIETH_CENTURY,1,Alberto Moravia,La romana,91,NO_MATCH,0.5315,0.4828,0.5714,/books/OL32354389M,Lo zoo umano,,Desmond Morris,9788804537762,2005,Mondadori,KEEP_TRANSLATION,0.5315,Lo zoo umano,Desmond Morris,/books/OL32354389M,0.5183,La vergogna,Annie Ernaux,/books/OL47519662M,0.4871,"""Tabulae Irnitanae""",Francesca Lamberti,/books/OL16786040M
IT,TWENTIETH_CENTURY,1,Cesare Pavese,Dialoghi con Leucò,92,NO_MATCH,0.4378,0.4444,0.4324,/books/OL19312233M,Discorso sul metodo,,René Descartes,,1932,La Nuova Italia,KEEP_TRANSLATION,0.4378,Discorso sul metodo,René Descartes,/books/OL19312233M,0.4375,Machiavelli e le sue opere,Carlo Gioda,/books/OL22092844M,0.4356,Viaggio al centro della terra,Jules Verne,/books/OL22929920M
IT,TWENTIETH_CENTURY,1,Elio Vittorini,Le donne di Messina,93,NO_MATCH,0.4649,0.5185,0.4211,/books/OL13429814M,L Arsenale Della Repubblica DI Venezia,Tecniche E Istituzioni Dal Medioevo All'ETA Moderna,Ennio Concina,9788843524402,1984,Edizioni Electa,KEEP_CORE,0.4649,L Arsenale Della Repubblica DI Venezia,Ennio Concina,/books/OL13429814M,0.4636,Venezia nell'età moderna,Ennio Concina,/books/OL2267321M,0.4590,La città degli ebrei,Ennio Concina,/books/OL1771801M
IT,TWENTIETH_CENTURY,1,Elsa Morante,Menzogna e sortilegio,94,NO_MATCH,0.5079,0.5000,0.5143,/books/OL22271319M,Memoria totale.,,Philip K. Dick | Phil Gigante,9788804418825,1996,Mondadori,KEEP_TRANSLATION,0.5079,Memoria totale.,Philip K. Dick | Phil Gigante,/books/OL22271319M,0.4363,James Ensor,Joachim Heusinger von Waldegg | Rudolf Schmitz | Xavier Tricot | James Ensor,/books/OL13771463M,0.4360,Teorica del sovrannaturale,Vincenzo Gioberti,/books/OL23404474M
IT,TWENTIETH_CENTURY,1,Mario Soldati,Le lettere da Capri,95,NO_MATCH,0.4776,0.6087,0.3704,/books/OL33162833M,Estetica,lezioni sul bello,Mario Pilo,,1921,U. Hoepli,KEEP_CORE,0.4776,Estetica,Mario Pilo,/books/OL33162833M,0.4527,Manuale minimo dell'attore,Dario Fo,/books/OL22448562M,0.4436,beata riva,Angelo Conti,/books/OL23638966M
