duplicate_type,resolved_path,owner_count,source_key,language,title,authors,cover_id,sha256
SAME_FILE,data/covers/full/ol-cover-3949712.jpg,3,/books/OL32582674M,DE,Der Platz,Annie Ernaux,3949712,ac64dee5ab97b45823cdf367ffdc8431eb44ac96c4465548ab4dff2309bd0492
SAME_FILE,data/covers/full/ol-cover-3949712.jpg,3,/books/OL33646900M,FR,La place,Annie Ernaux,3949712,ac64dee5ab97b45823cdf367ffdc8431eb44ac96c4465548ab4dff2309bd0492
SAME_FILE,data/covers/full/ol-cover-970078.jpg,3,/books/OL47519662M,IT,La vergogna,Annie Ernaux,970078,ed091261152a0c1315ad083b5dfb89c458e950ea0805d147abb42488a20f85dc
SAME_FILE,data/covers/full/ol-cover-970078.jpg,3,/books/OL47317785M,DE,Die Scham,Annie Ernaux,970078,ed091261152a0c1315ad083b5dfb89c458e950ea0805d147abb42488a20f85dc
SAME_FILE,data/covers/full/ol-cover-970078.jpg,3,/books/OL746592M,FR,La honte,Annie Ernaux,970078,ed091261152a0c1315ad083b5dfb89c458e950ea0805d147abb42488a20f85dc
SAME_FILE,data/covers/full/ol-cover-2210130.jpg,2,/books/OL47938633M,IT,Pilota di guerra,Antoine de Saint-Exupéry,2210130,ebfde3a94a617a3423956b50a92da418c965ea93329dedf91cd35e23cb8c9807
SAME_FILE,data/covers/full/ol-cover-2210130.jpg,2,/books/OL36594772M,DE,Flug nach Arras,Antoine de Saint-Exupéry,2210130,ebfde3a94a617a3423956b50a92da418c965ea93329dedf91cd35e23cb8c9807
SAME_FILE,data/covers/full/ol-cover-116397.jpg,4,/books/OL38212484M,IT,Volo di notte,Antoine de Saint-Exupéry,116397,e26103651f4745f1b542ade4239bd3b13b335153ac5ede5c2ae602a03700152a
SAME_FILE,data/covers/full/ol-cover-116397.jpg,4,/books/OL9066682M,DE,Nachtflug. Roman. ( Erzähler- Bibliothek).,Antoine de Saint-Exupéry,116397,e26103651f4745f1b542ade4239bd3b13b335153ac5ede5c2ae602a03700152a
SAME_FILE,data/covers/full/ol-cover-116397.jpg,4,/books/OL24328789M,NL,Nachtvlucht,Antoine de Saint-Exupéry,116397,e26103651f4745f1b542ade4239bd3b13b335153ac5ede5c2ae602a03700152a
SAME_FILE,data/covers/full/ol-cover-116397.jpg,4,/books/OL27783416M,FR,Vol de nuit,Antoine de Saint-Exupéry,116397,e26103651f4745f1b542ade4239bd3b13b335153ac5ede5c2ae602a03700152a
SAME_FILE,data/covers/full/ol-cover-10513792.jpg,2,/books/OL22939038M,IT,Il dio delle piccole cose,Arundhati Roy,10513792,228d9990ea3cf499669b35c026988ddbe23dcf04d3347eab07c5c71a0882289b
SAME_FILE,data/covers/full/ol-cover-10513792.jpg,2,/books/OL35687461M,NL,De god van kleine dingen,Arundhati Roy,10513792,228d9990ea3cf499669b35c026988ddbe23dcf04d3347eab07c5c71a0882289b
SAME_FILE,data/covers/full/ol-cover-8242875.jpg,2,/books/OL16522151M,IT,Autorità e individuo.,Bertrand Russell,8242875,7dff9e5e0451bf44d488f1413f855bc363f6d536fef8920d44ee546215f8f4e6
SAME_FILE,data/covers/full/ol-cover-8242875.jpg,2,/books/OL13115373M,ES,Autoridad E Individuo,Bertrand Russell,8242875,7dff9e5e0451bf44d488f1413f855bc363f6d536fef8920d44ee546215f8f4e6
SAME_FILE,data/covers/full/ol-cover-9321152.jpg,3,/books/OL15457632M,IT,L' ABC della relatività.,Bertrand Russell,9321152,bae61170c7b1ea32c2fecf2a5c545899c913b1100cd9448f09e5840af364d680
SAME_FILE,data/covers/full/ol-cover-9321152.jpg,3,/books/OL15441187M,NL,Het ABC van de relativiteit.,Bertrand Russell,9321152,bae61170c7b1ea32c2fecf2a5c545899c913b1100cd9448f09e5840af364d680
SAME_FILE,data/covers/full/ol-cover-9321152.jpg,3,/books/OL15441198M,FR,ABC de la relativité.,Bertrand Russell,9321152,bae61170c7b1ea32c2fecf2a5c545899c913b1100cd9448f09e5840af364d680
SAME_FILE,data/covers/full/ol-cover-1601265.jpg,2,/books/OL16197094M,IT,L' analisi della materia.,Bertrand Russell,1601265,a52d92c906d7f805ec9a3332cbef4976e25342f6356b790e9e8ec81b4dd7eca4
SAME_FILE,data/covers/full/ol-cover-1601265.jpg,2,/books/OL20575117M,FR,L' analyse de la matiere.,Bertrand Russell,1601265,a52d92c906d7f805ec9a3332cbef4976e25342f6356b790e9e8ec81b4dd7eca4
SAME_FILE,data/covers/full/ol-cover-253601.jpg,3,/books/OL878284M,IT,Storia delle conquiste umane,Daniel J. Boorstin,253601,be76f67ae9830dbd15f550e08158045dac1e3693e95c27cc57bc58f842b2e331
SAME_FILE,data/covers/full/ol-cover-253601.jpg,3,/books/OL872653M,NL,De ontdekkers,Daniel J. Boorstin,253601,be76f67ae9830dbd15f550e08158045dac1e3693e95c27cc57bc58f842b2e331
SAME_FILE,data/covers/full/ol-cover-253601.jpg,3,/books/OL872022M,FR,Les découvreurs,Daniel J. Boorstin,253601,be76f67ae9830dbd15f550e08158045dac1e3693e95c27cc57bc58f842b2e331
SAME_FILE,data/covers/full/ol-cover-76492.jpg,3,/books/OL32354389M,IT,Lo zoo umano,Desmond Morris,76492,bd1a54999192f6a2d71fc5fec209c21ac54602f2988442aa5afd96c854653675
SAME_FILE,data/covers/full/ol-cover-76492.jpg,3,/books/OL32817808M,ES,El zoo humano,Desmond Morris,76492,bd1a54999192f6a2d71fc5fec209c21ac54602f2988442aa5afd96c854653675
SAME_FILE,data/covers/full/ol-cover-76492.jpg,3,/books/OL47848270M,FR,Le zoo humain,Desmond Morris,76492,bd1a54999192f6a2d71fc5fec209c21ac54602f2988442aa5afd96c854653675
SAME_FILE,data/covers/full/ol-cover-7398079.jpg,2,/books/OL20140192M,IT,Il negoziatore.,Frederick Forsyth,7398079,f3e80af5e96858f1da4e7243667d6dc6963e85c0d6bce025889fc5f318187bac
SAME_FILE,data/covers/full/ol-cover-7398079.jpg,2,/books/OL21792313M,FR,Le négociateur,Frederick Forsyth,7398079,f3e80af5e96858f1da4e7243667d6dc6963e85c0d6bce025889fc5f318187bac
SAME_FILE,data/covers/full/ol-cover-8272336.jpg,3,/books/OL27138573M,IT,I fratelli Karamazov,Fyodor Dostoyevsky,8272336,99091e24e5d04e65691054ca359e8c6498500cc515ad25d4d7905b3076aefae7
SAME_FILE,data/covers/full/ol-cover-8272336.jpg,3,/books/OL37044481M,EN,The Brothers Karamazov,Fyodor Dostoyevsky,8272336,99091e24e5d04e65691054ca359e8c6498500cc515ad25d4d7905b3076aefae7
SAME_FILE,data/covers/full/ol-cover-8272336.jpg,3,/books/OL26605105M,FR,Les frères Karamazov,Fyodor Dostoyevsky,8272336,99091e24e5d04e65691054ca359e8c6498500cc515ad25d4d7905b3076aefae7
SAME_FILE,data/covers/full/ol-cover-10096625.jpg,3,/books/OL19736211M,IT,Notizia di un sequestro,Gabriel García Márquez,10096625,2a1234fca7dc34f50e3ad40ef8dc3b839db28fb095bc4354507b7b79b13f758e
SAME_FILE,data/covers/full/ol-cover-10096625.jpg,3,/books/OL32130886M,NL,Ontvoeringsbericht,Gabriel García Márquez,10096625,2a1234fca7dc34f50e3ad40ef8dc3b839db28fb095bc4354507b7b79b13f758e
SAME_FILE,data/covers/full/ol-cover-10096625.jpg,3,/books/OL12467882M,FR,Journal d'un enlèvement,Gabriel García Márquez,10096625,2a1234fca7dc34f50e3ad40ef8dc3b839db28fb095bc4354507b7b79b13f758e
SAME_FILE,data/covers/full/ol-cover-9267242.jpg,3,/books/OL35719243M,IT,1984,George Orwell,9267242,7a8c05a1fc021c4438286a10e766ddf5a93ac3e343e15467f3514c4b7cf03221
SAME_FILE,data/covers/full/ol-cover-9267242.jpg,3,/books/OL24636613M,NL,1984,George Orwell,9267242,7a8c05a1fc021c4438286a10e766ddf5a93ac3e343e15467f3514c4b7cf03221
SAME_FILE,data/covers/full/ol-cover-9267242.jpg,3,/books/OL8837183M,FR,1984,George Orwell,9267242,7a8c05a1fc021c4438286a10e766ddf5a93ac3e343e15467f3514c4b7cf03221
