row_index,language,title,authors,decision,cover_reference_count,cover_references
4797,FR,Journal du maître d'école d'île de France,J. Bernet,KEEP_CORE,0,
4798,FR,Physique moderne et philosophie traditionnelle,J. Daujat,KEEP_CORE,0,
4799,FR,Lettres d'un cultivateur americain,J. Hector St. John de Crèvecoeur,KEEP_CORE,0,
4800,FR,Voyage dans la haute Pensylvanie et dans l'état de New-York,J. Hector St. John de Crèvecoeur,KEEP_CORE,0,
4801,FR,Principes du droit naturel et politique.,J. J. Burlamaqui,KEEP_CORE,0,
4802,FR,Ourania,J. M. G. Le Clézio,KEEP_CORE,0,
4803,FR,Ritournelle de la faim,J. M. G. Le Clézio,KEEP_CORE,0,
4804,FR,Notre langue,J. Marouzeau,KEEP_CORE,0,
4805,FR,Aujourd'hui,J. Mathiex,KEEP_CORE,0,
4806,FR,Histoire de la Lorraine,J. R. /Morette Bastien,KEEP_CORE,0,
4807,FR,Questions d'art paléolithique,J. Schefer,KEEP_CORE,0,
4808,FR,"Relation d'un voyage à Manitoba / par J.Y. Shantz. Accompagnée d'une analyse de l'Acte concernant les terres de la puissance, et d'un extrait du pamphlet publié par le gouvernement at [i.e. au] sujet de Manitoba",J. Y. Shantz,KEEP_CORE,0,
4809,FR,En veillant avec les petits de chez nous,J.-G Gélinas,KEEP_CORE,0,
4810,FR,Pour lire le récit,J.-L Dumortier,KEEP_CORE,0,
4811,FR,L' analyse des données redigés et publiés sous la direction du J.-P. Benzecri.,J.-P Benzécri,KEEP_CORE,0,
4812,FR,L'Appel de la forêt,Jack London,KEEP_TRANSLATION,0,
4813,FR,"Carte de hockey, La",Jack Siemiatycki | Avi Slodovnick,KEEP_TRANSLATION,0,
4814,FR,L'e pe e de cristal,Jacky Goupil,KEEP_CORE,0,
4815,FR,"L'epe e de cristal, premier cycle",Jacky Goupil,KEEP_CORE,0,
4816,FR,"Les ""Laudi""",Jacopone da Todi | Serge Hughes | Elizabeth Hughes,KEEP_TRANSLATION,0,
4817,FR,De Washington à Clinton,Jacquard/Roland,KEEP_CORE,0,
4818,FR,Le sens des choses,Jacques Attali,KEEP_CORE,0,
4819,FR,Aventures les plus curieuses des voyageurs,Jacques Bernard Hombron,KEEP_CORE,0,
4820,FR,Ces gens-là,Jacques Brel,KEEP_CORE,0,
4821,FR,Le plat pays,Jacques Brel,KEEP_CORE,0,
4822,FR,Basile-Juléat Fouda,Jacques Chatué,KEEP_CORE,0,
4823,FR,Famille et patrimoine de la haute noblesse française au XVIIIe siècle,Jacques Cuvillier,KEEP_CORE,0,
4824,FR,Dissemination,Jacques Derrida,KEEP_CORE,0,
4825,FR,Le monolinguisme de l'autre,Jacques Derrida,KEEP_CORE,0,
4826,FR,Marges de la philosophie.,Jacques Derrida,KEEP_CORE,0,
4827,FR,Parages,Jacques Derrida,KEEP_CORE,0,
4828,FR,Points de suspension,Jacques Derrida,KEEP_CORE,0,
4829,FR,Séminaire,Jacques Derrida,KEEP_CORE,0,
4830,FR,Échographies de la télévision,Jacques Derrida,KEEP_CORE,0,
4831,FR,Magritte,Jacques Dopagne,KEEP_CORE,0,
4832,FR,Histoire des doctrines politiques en France.,Jacques Droz,KEEP_CORE,0,
4833,FR,L'etranger,Jacques Ferrandez,KEEP_CORE,0,
4834,FR,Les grands débrouillards,Jacques Goldstyn,KEEP_CORE,0,
4835,FR,Ligne brisee d'Asie mineure,Jacques Hure,KEEP_CORE,0,
4836,FR,La violence à l'école,Jacques Hébert,KEEP_CORE,0,
4837,FR,Le français scientifique : guide de rédaction et de vulgarisation,Jacques Leclerc,KEEP_CORE,0,
4838,FR,Oui nide iou,Jacques Lob,KEEP_CORE,0,
4839,FR,Les 100 romans québécois qu'il faut lire,Jacques Martineau,KEEP_CORE,0,
4840,FR,Lettre des Iles Baladar,Jacques Prévert,KEEP_CORE,0,
4841,FR,L' Œil et la plume,Jacques Putman,KEEP_CORE,0,
4842,FR,La longue histoire de la matière,Jacques Reisse,KEEP_CORE,0,
4843,FR,Signification de l'homme,Jacques Rolland de Renéville,KEEP_CORE,0,
4844,FR,Des sciences physiques aux sciences morales,Jacques Rueff,KEEP_CORE,0,
4845,FR,Casse-pipe à la nation,Jacques Tardi,KEEP_CORE,0,
4846,FR,"Moi, René Tardi, prisonnier de guerre au Stalag II B",Jacques Tardi,KEEP_CORE,0,
4847,FR,L'Idée de l'état dans Saint Thomas d'Aquin,Jacques Zeiller,KEEP_CORE,0,
4848,FR,18450 Km en courant. Relier en courant les villes saintes,Jamel Balhi,KEEP_CORE,0,
4849,FR,Le lendemain du jugement dernier,James Blish,KEEP_TRANSLATION,0,
4850,FR,Un coup de cymbales,James Blish,KEEP_TRANSLATION,0,
4851,FR,Morts de Peur,James Burks,KEEP_TRANSLATION,0,
4852,FR,Sauve Qui Peut!,James Burks,KEEP_TRANSLATION,0,
4853,FR,La Théorie du chaos,James Gleick,KEEP_TRANSLATION,0,
4854,FR,4 Fers Au Feu,James Patterson | Maxine Paetro,KEEP_TRANSLATION,0,
4855,FR,Etudes camusiennes,Jan Baetens,KEEP_CORE,0,
4856,FR,La boîte aux lettres secrète.,Jan Mark,KEEP_TRANSLATION,0,
4857,FR,Saint-Simon et le saint-simonisme,"Janet, Paul",KEEP_CORE,0,
4858,FR,Éléments de philosophie scientifique et de philosophie morale,"Janet, Paul",KEEP_CORE,0,
4859,FR,Problèmes de cohésion syntaxique de 1550 à 1720,Janine Baudry,KEEP_CORE,0,
4860,FR,Remplissons les trous!,Janine Tougas,KEEP_CORE,0,
4861,FR,Tunisie,Jaques Fontaine,KEEP_CORE,0,
4862,FR,Star Wars : l'académie Jedi,Jarrett Krosoczka,KEEP_TRANSLATION,0,
4863,FR,"L'Ourson Qui Voulait Une Juliette (Il Etait Une Fois, 6)",Jasmine Dube,KEEP_CORE,0,
4864,FR,Le grand Nazaire,Jasmine Dube,KEEP_CORE,0,
4865,FR,Les Deux Nazaire,Jasmine Dube,KEEP_CORE,0,
4866,FR,Jasper Johns,Jasper Johns,KEEP_CORE,0,
4867,FR,Les soldats de Salamine,Javier Cercas | Elisabeth Beyer | Aleksandar Grujicic | José Pablo García,KEEP_TRANSLATION,0,
4868,FR,Petite Poule.,Javier Franco Aixela | Steven Kellogg,KEEP_TRANSLATION,0,
4869,FR,Au-delà du système pénal,Jean & Al Poupart,KEEP_CORE,0,
4870,FR,"Les voyages avantureux du capitaine Ian Alfonce, Sainctongeois",Jean Alfonce,KEEP_CORE,0,
4871,FR,Trois ans à la cour de Perse.,Jean Baptiste Feuvrier,KEEP_CORE,0,
4872,FR,"Discours sur l'utilite des lettres et des sciences, par rapport au bien de l'état.",Jean Barbeyrac,KEEP_CORE,0,
4873,FR,La fable créole,Jean Bernabé,KEEP_CORE,0,
4874,FR,Sur la logique et la théorie de la science,Jean Cavaillès,KEEP_CORE,0,
4875,FR,"Le voyage de Monsieur d'Aramon, ambassadeur pour le Roy en Levant.",Jean Chesneau,KEEP_CORE,0,
4876,FR,André Acquart,Jean Chollet,KEEP_CORE,0,
4877,FR,Julie des Loups,Jean Craighead George,KEEP_TRANSLATION,0,
4878,FR,Babar aux sports d'hiver,Jean de Brunhoff,KEEP_CORE,0,
4879,FR,Babar en famille.,Jean de Brunhoff,KEEP_CORE,0,
4880,FR,Babar et le Père Noël,Jean de Brunhoff,KEEP_CORE,0,
4881,FR,Le roi Babar,Jean de Brunhoff,KEEP_CORE,0,
4882,FR,Le voyage de Babar,Jean de Brunhoff,KEEP_CORE,0,
4883,FR,Memoires du mexique (1707-1709),Jean de Monsegur,KEEP_CORE,0,
4884,FR,Le temps de photographier,Jean Delord,KEEP_CORE,0,
4885,FR,"Rapaces, tome 3",Jean Dufaux | Enrico Marini,KEEP_CORE,0,
4886,FR,"Le roman tunisien de langue arabe, 1956-2001",Jean Fontaine,KEEP_CORE,0,
4887,FR,Recherches sur la littérature arabe,Jean Fontaine,KEEP_CORE,0,
4888,FR,Romans arabes modernes,Jean Fontaine,KEEP_CORE,0,
4889,FR,La grâce de l'État,Jean François Revel,KEEP_CORE,0,
4890,FR,Le moine et le philosophe,Jean François Revel | Matthieu Ricard,KEEP_CORE,0,
4891,FR,L' atelier d'Alberto Giacometti.,Jean Genet,KEEP_CORE,0,
4892,FR,L' enfant criminel et 'Adame Miroir.,Jean Genet,KEEP_CORE,0,
4893,FR,Qu'est-ce que la science sociale?,Jean Guillaume César Alexandre Hippolyte Colins,KEEP_CORE,0,
4894,FR,Étude d'économie rurale & sociale,Jean Guillou,KEEP_CORE,0,
4895,FR,Essai de définition de la science sociale,Jean Gustave Courcelle-Seneuil,KEEP_CORE,0,
4896,FR,Études sur la science sociale.,Jean Gustave Courcelle-Seneuil,KEEP_CORE,0,
4897,FR,La radio locale,Jean Kouchner,KEEP_CORE,0,
4898,FR,Journal d'un voyage sur le côtes de la mer Noire du 28 avril au 18 septembre 1784,Jean Lafitte-Clavé,KEEP_CORE,0,
4899,FR,Chez les français du Canada-,Jean Lionnet,KEEP_CORE,0,
4900,FR,L'arbre de proie,Jean Ma Selosse,KEEP_CORE,0,
4901,FR,La lutte pour l'existence et l'évolution des sociétés,Jean Marie Antoine de Lanessan,KEEP_CORE,0,
4902,FR,La morale des philosophes chinois extraite des livres classiques de la Chine et de l'Annam,Jean Marie Antoine de Lanessan,KEEP_CORE,0,
4903,FR,L'État blessé,Jean Noël Jeanneney,KEEP_CORE,0,
4904,FR,Les aventures du jeune comte Potowski,Jean Paul Marat,KEEP_CORE,0,
4905,FR,"Oeuvres politiques, 1789-1793",Jean Paul Marat | Charlotte Goëtz | Jacques De Cock,KEEP_CORE,0,
4906,FR,Sevres,Jean Paul Midant,KEEP_CORE,0,
4907,FR,Le Temps du caravagisme,Jean Penent,KEEP_CORE,0,
4908,FR,La vocation de l'élite,Jean Price-Mars,KEEP_CORE,0,
4909,FR,Le Carnaval de Québec,Jean Provencher,KEEP_CORE,0,
4910,FR,Mythe et allégorie,Jean Pépin,KEEP_CORE,0,
