source_type,source_identity,source_key,edition_key,work_key,language,title,authors,decision,cover_id,source_path,source_size_bytes,sha256,image_format,canonical_cover_file,canonical_cover_asset
ACQUISITION,/books/OL3212598M,,/books/OL3212598M,/works/OL2145429W,FR,"Etre, essence et substance chez Platon et Aristote",Paul Ricœur,ACQUISITION,4236689,data/cache/fr-mass-editorial-engine/covers/FR-OL3212598M.jpeg,3480,a2536a1bb320f4de13ec299f092663f0737ed3e1fed2012476a1a7ca1605dcd1,jpg,data/covers/final/cover-a2536a1bb320f4de13ec299f092663f0737ed3e1fed2012476a1a7ca1605dcd1.jpg,covers/final/cover-a2536a1bb320f4de13ec299f092663f0737ed3e1fed2012476a1a7ca1605dcd1.jpg
ACQUISITION,/books/OL12657761M,,/books/OL12657761M,/works/OL8969752W,FR,L'unique et le singulier,Paul Ricœur,ACQUISITION,3164469,data/cache/fr-mass-editorial-engine/covers/FR-OL12657761M.jpeg,15399,a2951bcbe219410aa7732d7137195b283c30a1cd22ad983059b1b860813ad70a,jpg,data/covers/final/cover-a2951bcbe219410aa7732d7137195b283c30a1cd22ad983059b1b860813ad70a.jpg,covers/final/cover-a2951bcbe219410aa7732d7137195b283c30a1cd22ad983059b1b860813ad70a.jpg
ACQUISITION,/books/OL12384686M,,/books/OL12384686M,/works/OL9916890W,FR,La critique et la conviction,Paul Ricœur,ACQUISITION,3068350,data/cache/fr-mass-editorial-engine/covers/FR-OL12384686M.jpeg,23184,b2c22ae51de48927c5d2044631e736e8cc00331698451b447d57b7b2b25db32c,jpg,data/covers/final/cover-b2c22ae51de48927c5d2044631e736e8cc00331698451b447d57b7b2b25db32c.jpg,covers/final/cover-b2c22ae51de48927c5d2044631e736e8cc00331698451b447d57b7b2b25db32c.jpg
ACQUISITION,/books/OL9732088M,,/books/OL9732088M,/works/OL8018193W,FR,La métaphore vive,Paul Ricœur,ACQUISITION,2132602,data/cache/fr-mass-editorial-engine/covers/FR-OL9732088M.jpeg,12202,7ba700fb06acc8c394aecfb7607856bed053e0fea36eaa5dadebb066fc2aa51a,jpg,data/covers/final/cover-7ba700fb06acc8c394aecfb7607856bed053e0fea36eaa5dadebb066fc2aa51a.jpg,covers/final/cover-7ba700fb06acc8c394aecfb7607856bed053e0fea36eaa5dadebb066fc2aa51a.jpg
ACQUISITION,/books/OL22011504M,,/books/OL22011504M,/works/OL19146370W,FR,La Sémantique de l'action,Paul Ricœur,ACQUISITION,4390427,data/cache/fr-mass-editorial-engine/covers/FR-OL22011504M.jpeg,3918,c5aeab7b5919ef95b95853596024fea8685c9011436bb21fd97ef59b5d5d55e4,jpg,data/covers/final/cover-c5aeab7b5919ef95b95853596024fea8685c9011436bb21fd97ef59b5d5d55e4.jpg,covers/final/cover-c5aeab7b5919ef95b95853596024fea8685c9011436bb21fd97ef59b5d5d55e4.jpg
ACQUISITION,/books/OL20613209M,,/books/OL20613209M,/works/OL8018133W,FR,Le juste,Paul Ricœur,ACQUISITION,8687332,data/cache/fr-mass-editorial-engine/covers/FR-OL20613209M.jpeg,10569,821595c587488edd21977891b888692e752e715cdadb4c752957a8ffe8c1b635,jpg,data/covers/final/cover-821595c587488edd21977891b888692e752e715cdadb4c752957a8ffe8c1b635.jpg,covers/final/cover-821595c587488edd21977891b888692e752e715cdadb4c752957a8ffe8c1b635.jpg
ACQUISITION,/books/OL437132M,,/books/OL437132M,/works/OL2145442W,FR,Le mal,Paul Ricœur,ACQUISITION,2172302,data/cache/fr-mass-editorial-engine/covers/FR-OL437132M.jpeg,9208,11bea04215ecff3709b33eca4dcd158a2f64a1965c1072fa7d7d9e583b5ee403,jpg,data/covers/final/cover-11bea04215ecff3709b33eca4dcd158a2f64a1965c1072fa7d7d9e583b5ee403.jpg,covers/final/cover-11bea04215ecff3709b33eca4dcd158a2f64a1965c1072fa7d7d9e583b5ee403.jpg
ACQUISITION,/books/OL9711810M,,/books/OL9711810M,/works/OL8018178W,FR,Lectures,Paul Ricœur,ACQUISITION,2133761,data/cache/fr-mass-editorial-engine/covers/FR-OL9711810M.jpeg,10574,01226e4049f56ca13af7e1578e6ed3c05e4be9579f9ddc7f8e8fa6845b9823ae,jpg,data/covers/final/cover-01226e4049f56ca13af7e1578e6ed3c05e4be9579f9ddc7f8e8fa6845b9823ae.jpg,covers/final/cover-01226e4049f56ca13af7e1578e6ed3c05e4be9579f9ddc7f8e8fa6845b9823ae.jpg
ACQUISITION,/books/OL20952266M,,/books/OL20952266M,/works/OL2145405W,FR,Lectures 3,Paul Ricœur,ACQUISITION,9648280,data/cache/fr-mass-editorial-engine/covers/FR-OL20952266M.jpeg,17361,9fb34cab649073b31885334918fe7caf06a6eb8eaa61e8176ab02fd3d6215666,jpg,data/covers/final/cover-9fb34cab649073b31885334918fe7caf06a6eb8eaa61e8176ab02fd3d6215666.jpg,covers/final/cover-9fb34cab649073b31885334918fe7caf06a6eb8eaa61e8176ab02fd3d6215666.jpg
ACQUISITION,/books/OL9726689M,,/books/OL9726689M,/works/OL8018131W,FR,"Lectures, tome 1",Paul Ricœur,ACQUISITION,2134819,data/cache/fr-mass-editorial-engine/covers/FR-OL9726689M.jpeg,21512,c166459dd465db9e1c7e0dda50054ba8b310f0c7341aa063dac052da6d5c0e2d,jpg,data/covers/final/cover-c166459dd465db9e1c7e0dda50054ba8b310f0c7341aa063dac052da6d5c0e2d.jpg,covers/final/cover-c166459dd465db9e1c7e0dda50054ba8b310f0c7341aa063dac052da6d5c0e2d.jpg
ACQUISITION,/books/OL9648456M,,/books/OL9648456M,/works/OL8018132W,FR,"Lectures, tome 2",Paul Ricœur,ACQUISITION,2134939,data/cache/fr-mass-editorial-engine/covers/FR-OL9648456M.jpeg,21842,d249b2791f54422d5ef15c3ff62e55d05a7b574bdc2308b61bbdd0f9b22ac492,jpg,data/covers/final/cover-d249b2791f54422d5ef15c3ff62e55d05a7b574bdc2308b61bbdd0f9b22ac492.jpg,covers/final/cover-d249b2791f54422d5ef15c3ff62e55d05a7b574bdc2308b61bbdd0f9b22ac492.jpg
ACQUISITION,/books/OL12386639M,,/books/OL12386639M,/works/OL527892W,FR,"Actes de la recherche en sciences sociales, numéro 104. Le commerce des corps",Pierre Bourdieu,ACQUISITION,3070071,data/cache/fr-mass-editorial-engine/covers/FR-OL12386639M.jpeg,19690,42d827d974e0bab7b884938f6585ab42e14b0a016f65e45aafec9c529a8daa5f,jpg,data/covers/final/cover-42d827d974e0bab7b884938f6585ab42e14b0a016f65e45aafec9c529a8daa5f.jpg,covers/final/cover-42d827d974e0bab7b884938f6585ab42e14b0a016f65e45aafec9c529a8daa5f.jpg
