target_index,language,category,priority,target_author,target_work,query_alias,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Publius Ovidius Naso,BROAD,/works/OL37312908W,P. Ovidi Nasonis Ars amatoria,Ovid,/books/OL50288997M,P. Ovidi Nasonis Ars amatoria,cum appendice ad Remedia pertinente,lat,,In aedibus Io. Bapt. Paraviae,1969,,,0.95,0.95,0.8515,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,STRICT,/works/OL97725W,Ars Amatoria,Ovid | Niklas Holzberg | Len Krisak | Sarah Ruden | Ovid | Publius Ovidius Publius Ovidius Naso | Henry T. Riley | M.J. Griggs | b. p. moore,/books/OL23293139M,De arte amatoria libri tres,,lat,,Dieterich,1902,,12733518,0.5641025641025641,1.0,0.7233333333333334,VALID_COVER,326,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-04-OL23293139M.jpeg,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,STRICT,/works/OL42235644W,De arte amatoria libri tres,Ovid,/books/OL57660475M,De arte amatoria libri tres,,lat | ger,,G. Olms,1963,,,0.5641025641025641,1.0,0.6633333333333333,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovide,BROAD,/works/OL4833249W,"Ovide, Ars amatoria, Remedia amoris, De medicamine",Cl Purnelle-Simart,/books/OL2251166M,"Ovide, Ars amatoria, Remedia amoris, De medicamine","index verborum, listes de fréquence, relevés grammaticaux",lat | fre,,"Université de Liège, Faculté de philosophie et lettres, Centre informatique de philosophie et lettres",1987,,,0.95,0.08695652173913043,0.6357391304347826,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,STRICT,/works/OL35485376W,De remedio amoris,Ovid,/books/OL47914662M,De remedio amoris,,lat,,Johannes Tacuinus,1494,,,0.4827586206896552,1.0,0.6210344827586207,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,BROAD,/works/OL27733924W,The Art of love and other poems,Ovid,/books/OL20240516M,"The art of love, and other poems",,eng | lat,0674992555,Harvard University Press,1985,,9626404,0.23255813953488372,1.0,0.5809302325581396,VALID_COVER,319,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-04-OL20240516M.jpeg,REJECTED_CANDIDATE,
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovide,BROAD,/works/OL97727W,Metamorfosi,"Ovid | William S. Anderson | Mary Frederick | Rolfe Humphries | John Dryden | Samuel Garth | Jack Shapiro | Ovid | Robert Squillace | Frank Justus Miller | Ovidio | Julius Ziehen | Banier (Antoine | M L'Abbe) | Niklas Holzberg | Lee Fratantuono | A D Melville | Emeritus Kennedy Professor of Latin Fellow E J Kenney | Ovide | William Scovil Anderson | Stephanie McCarter | Gerhard Fink | Alexander Pope | Joseph Addison | William Congreve | Gottlieb Erdmann Gierig | Jan Minell | Pieter Rabus | Alexander Pope | Sir Samuel Garth | John Godwin | OVIDIO | Publio Nasone Ovidio | Ovidi | Xavier Mata Oroval | Claude-Pierre Goujet | Claude-Pierre Banier | Publius Ovidius Naso | Edward Brooks | Edward Ovid | Ovidius | Ernest Ensor Publius Ovidius Naso | Ovídio | Pierre Du Ryer | Publio Ovidio Nason | Johannes Minellius | Nathan Bailey | J., F., and C. Rivington (Firm) | G. G. J. and J. Robinson (Paternoster-Row, London, England) | Scatcherd and Whitaker | Publius Ovidius Naso | Mathieu Guillaume Thérès de Villenave | Rudolf Merkel | Ovid Giovanni Andrea Dell' Anguillara | C. Luke Soucy | Publius Ovidius Naso | Joseph Gaspard Dubois-Fontanelle | Villenave | Moriz Haupt | Otto Korn | Otto Ovid | J. J. J.J. Howard | Henry Riley | Théodose Burette | Etienne Gros | John Clarke | John Ovid | William Thane Peck | Moriz Haupt | Hermann Johannes Müller | Otto Korn | Henry T. Riley | Banier M. l'abbé | Bernard Picart | Arthur Golding | William White | William Seres | J. H. Haydon | Maximus Planudes | Jean François Boissonade | Garth, Samuel Sir | Joseph Addison | Laurence Eusden | Arthur Maynwaring | Samuel Croxall | Nahum Tate | John Gay | Freigius | Moritz Haupt | Otto Korn | Ovide Ovide | George Sewell | Ovid Vergil | Ovide (Ovid) ; Georges Lafaye | Rolfe (Translated by) Ovid and Humphries | Ernst Karl Christian Bach | Rudolf Ehwald | Ovidb C -17 or 18 a D | Daniel Crespin | Anton Zingerle | Heinrich Stefan Sedlmayer | José Carlos Fernández Corte | María Josefa Cantó Llorca | Charles Martin | Emily R. Wilson | Ovide | Henry T. Riley | translated by frank jsutus miller Ovid | Moriz Haupt P. Ovidius Naso | 43 B. C. -17 or 18 A. D. Ovid | N. C. (Nathan Covington) 180 Brooks | José-Román Bravo Díaz | Publio Ovidio Nasón | Antonio Ruiz de Elvira Prieto | Bartolomé Segura Ramos | OVIDIO; BONIFAZ NU;O, RUBEN INTRODUCION, VERSION | OVIDIO; BONIFAZ NU;O, RUBEN INTRODUCION, VERSION | Publius Ovidius Naso Ovide | OVIDE | 43 B. C. -17 A. D. or 18 A. D. Ovid | Stamperia del Seminario (Padua) | Publius Ovidius Publius Ovidius Naso | Henry Thomas Riley | Publi Ovidi Nasó | Donald E. Hill | J. R. Jenkinson | K. Sara Myers | Ovid Poet | John Laney | Hermann Breitenbach | Rudolf Merkel | Rudolf Ehwald | Ange-François Fariau de Saint-Ange | Pablo Picasso | Jean Gaspard Dubois-Fontanelle | Giuseppe Zocchi | Joseph Chamonard | Diedrich Ernest Bosselaar | Thomas Farnaby | Friedrich Polle | Johannes Siebelis | Bernardino Stagnino | Carolus Vivianus | Ovide (Ovid) | Georges Lafaye | Garth, Samuel Sir | George Sandys | Richard Badger | Johann Raener | Henricus Glareanus | Thomas Purfoot | Charles Simmons | Lodovico Dolce | Jakob Moltzer | Ercole Ciofani | Daniel Heinsius | Nicolaas Heinsius | Pieter Burman | Johann Wilhelm Capoferrius | Charles de Massac | Raymond de Massac | George Sewell | Jakob Moltzer | Raffaele Regio | Giovanni de Buonsignore | Luca-Antonio Giunta | William Caxton | George Hibbert | Roxburghe Club | Erich Rösch | Joseph Davidson | Claude-Pierre Goujet | N. Bailey | Johannes Minellius | Banier (Antoine) | Jean Matheus | Isaac Briot | Pierre Firens | Michael Faulte | Gerard Jean-Baptiste Scotin | Antoine Humblot | Virgil Solis | Vasiliĭ Maĭkov | Gerhard Lorich | Marguerite Carnec | Olivier Sers | SparkNotes | Georges Lafaye | Raphaello Regius | Josse Badius | Gottlieb Erdmann Gierig | Almeno pseud | Ēlias Tsirinkakēs | Jordi Parramon Blasco | John Clarke | Jacobus Rubeus | Henry N. Heale | William Scovil Anderson | Gianpiero Rosati | Giovanna Faranda Villa | Rossella Corti | Nicolas Renouard | Publius Vergilius Maro | Henry King | Karl Hermann Weise | Jorge de Bustamante | Pierre Bellère | Fitzwilliam, William Charles de Meuron Earl | Edward Glaser | Giovanni de' Buonsignori | Gregor Bersmann | Josse Badius | Pieter Rabus | 'Introductiones' Printer of Nebrissensis | Hannibal Gamon | Clifden, Arthur Victor Agar-Robartes Viscount | England) Lanhydrock House (Cornwall | Giovanni Andrea dell' Anguillara | Francesco Turchi | Clarke, John | Lodovico Dolce | Ovid | Banier (Antoine) | Claude-Pierre Goujet | Karl Paul Otto Korn | H. J. Müller | Otto Korn | Johann Balthasar Sedkezki | Stephen Gaselee | H. F. B. Brett-Smith | Pepys Library | Raphaello Regius | Paul Brandt | Thomas Farnaby | Pierre Du Ryer | Gwilym Aneurin Tudor Davies | Ovid, 43 BCE-18, 43 BCE-18",/books/OL20549482M,P. Ovidius Naso [Opera],,lat,,B.G. Teubneri,1862,,9621780,0.25,1.0,0.56,NOT_PROBED,,,,,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Horace,STRICT,/works/OL88217W,Carmina,Horace,/books/OL23284205M,"Carmina, liber Epodon",,lat | eng,,University Press,1914,,5755029,0.95,1.0,0.9239999999999999,VALID_COVER,292,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-05-OL23284205M.jpeg,USABLE_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Quintus Horatius Flaccus,STRICT,/works/OL40304641W,Carmina,Quintus Horatius Flaccus,/books/OL54826289M,Carmina,Latin Text,lat,9781523919918,CreateSpace Independent Publishing Platform,2016,,,1.0,1.0,0.92,NOT_PROBED,,,,,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Quintus Horatius Flaccus,STRICT,/works/OL40629107W,Carmina,Quintus Horatius Quintus Horatius Flaccus,/books/OL55235265M,Carmina,,lat,9781505832587,The Perfect Library,2014,,,1.0,0.95,0.9075000000000001,NOT_PROBED,,,,,REJECTED_CANDIDATE,
