language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
NL,DUTCH_FLEMISH_CANON,Marcellus Emants,1,5,8,/works/OL2349739W,Inwijding,Marcellus Emants,1.0000,1910,/books/OL4335864M,Inwijding,,dut,1.0000,9010020983,Elsevier,1978,,6461212,VALID_COVER,323,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4335864M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Marcellus Emants,1,5,8,/works/OL15347871W,Jong Holland,Marcellus Emants,1.0000,1983,/books/OL24334739M,Jong Holland,oorspronkelijke roman,dut,1.0000,9021495775,Querido,1983,,6461203,VALID_COVER,313,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24334739M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Simon Vestdijk,1,10,15,/works/OL812169W,Kind tussen vier vrouwen,Simon Vestdijk,1.0000,1972,/books/OL5378346M,Kind tussen vier vrouwen,de kroniek van een jongensleven,dut,1.0000,9023460251,De Bezige Bij,1972,,6451421,VALID_COVER,319,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL5378346M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Simon Vestdijk,1,10,15,/works/OL812220W,Rumeiland,Simon Vestdijk,1.0000,1940,/books/OL3884369M,Rumeiland,"uit de papieren van Richard Beckford, behelzende het relaas van zijn lotgevallen op Jamaica, 1737-1738",dut,1.0000,902366681X,Nijgh & Van Ditmar,1981,,10225227,VALID_COVER,294,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3884369M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Simon Vestdijk,1,10,15,/works/OL812211W,Surrogaten voor Murk Tuinstra,Simon Vestdijk,1.0000,1948,/books/OL4516208M,Surrogaten voor Murk Tuinstra,de geschiedenis van een vriendschap,dut,1.0000,9023666577,Nijgh & Van Ditmar,1978,,4411191,VALID_COVER,128,204,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4516208M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Simon Vestdijk,1,10,15,/works/OL812225W,Terug tot Ina Damman,Simon Vestdijk,1.0000,1949,/books/OL24650500M,Terug tot Ina Damman,de geschiedenis van een jeugdliefde,dut,1.0000,9001547923,Wolters-Noordhoff,1993,,6757671,VALID_COVER,300,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24650500M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Simon Vestdijk,1,10,15,/works/OL812212W,Verzamelde verhalen,Simon Vestdijk,1.0000,1974,/books/OL4825670M,Verzamelde verhalen,,dut,1.0000,9023460294,De Bezige Bij,1974,,6451419,VALID_COVER,313,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4825670M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Frederik van Eeden,1,6,9,/works/OL15369184W,De broeders,Frederik van Eeden,1.0000,1894,/books/OL24355616M,De broeders,tragedie van het recht,dut,1.0000,,W. Versluys,1894,,6580749,VALID_COVER,344,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24355616M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Frederik van Eeden,1,6,9,/works/OL1447291W,Ellen,Frederik van Eeden,1.0000,1900,/books/OL23358640M,Ellen,een lied van de samrt.,dut,1.0000,,W. Versluys,1900,,6112040,VALID_COVER,316,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL23358640M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Joost van den Vondel,1,8,12,/works/OL24994483W,Vorstelijcke warande der dieren,Joost van den Vondel,1.0000,1682,/books/OL33224940M,Vorstelijcke warande der dieren,"waer in de zeden-rijcke philosophie, poëtisch, morael, en historiael, vermakelijck en treffelijck wort voorgestelt : mit exempelen uyt de oude historien, in prose",dut,1.0000,,"Sander Wybrantsz, Jan Blom, Andries Vinck, en Aert Dircksz. Oossaen",1682,,11937595,VALID_COVER,381,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL33224940M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Louis Couperus,1,10,15,/works/OL1456918W,The hidden force,Louis Couperus,1.0000,1921,/books/OL7199257M,The hidden force,a story of modern Java,eng | dut,1.0000,,Cape,1922,,5674862,VALID_COVER,304,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL7199257M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Louis Couperus,1,10,15,/works/OL1456915W,The twilight of the souls,Louis Couperus,1.0000,1917,/books/OL7219522M,The twilight of the souls,,eng | dut,1.0000,,Dodd,1920,,5690406,VALID_COVER,322,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL7219522M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Louis Couperus,1,10,15,/works/OL1456896W,Wereldvrede ..,Louis Couperus,1.0000,1895,/books/OL24626849M,Wereldvrede,,dut,1.0000,,Veen,1924,,6716969,VALID_COVER,391,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24626849M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Louis Couperus,1,10,15,/works/OL15728542W,Williswinde,Louis Couperus,1.0000,1895,/books/OL24651296M,Williswinde,,dut,1.0000,,Veen,[1895],,6759407,VALID_COVER,390,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24651296M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Menno ter Braak,1,5,8,/works/OL15824302W,Het Verraad der Vlaggen,Menno ter Braak,1.0000,1967,/books/OL24735196M,Het Verraad der Vlaggen,,dut,1.0000,,Querido,1967,,6788717,VALID_COVER,317,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24735196M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Menno ter Braak,1,5,8,/works/OL16481527W,Journaal 1939,Menno ter Braak,1.0000,1945,/books/OL25182235M,Journaal 1939,,dut,1.0000,,De Bezige Bij,1945,,7018749,VALID_COVER,315,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL25182235M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,DUTCH_FLEMISH_CANON,Joost van den Vondel,1,8,12,/works/OL1457320W,De vernieuwde gulden winckel der kunstliebende Nederlanders *,Joost van den Vondel,1.0000,1622,/books/OL23294275M,vernieuwde gulden winckel der kunstliebende Nederlanders,"waer in den mensche door poëtische, historische en morale leeringen, vertoont wort, hoedanigh hy zijn leven, handel ende wandel, zedighlijck, eerbaerlijck en vermakelijck sal overbrengen : hier is by ghevoeght het tweede deel, waer in 't vvelvaren der vereenighde Nederlanden, en de droeve vvtvaert van Henricus de Grote, coningh van Vranckrijck en Navarre, &c. : nessens andere stichtelijcke dinghen, den konst-beminders worden voor oogen ghestelt",dut,0.9600,,Door Dirck Pietersz. ...,1622,,6075335,VALID_COVER,369,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL23294275M.jpeg,NO,NO,160.2000,189.2000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
