source_key,language,quality_bucket,quality_score,preservation_reason,original_title,original_authors,original_isbn,original_publication_year,original_publisher,rescue_state,search_mode,candidate_work_key,candidate_work_title,candidate_authors,candidate_edition_key,candidate_edition_title,candidate_languages,title_score,author_score,edition_title_score,cover_id,cover_width,cover_height,cover_format,cover_local_path,cover_sha256
/books/OL12122346M,EN,PROMISING,5,EDITORIAL_CORE,Romeo and Juliet,William Shakespeare,9781561036790,1994,AGS Pub,RECOVERED,TITLE_AUTHOR,/works/OL26970435W,Romeo and Juliet,William Shakespeare,/books/OL37084827M,Romeo and Juliet,eng,1.0000,1.0000,1.0000,13091430,328,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12122346M__OL37084827M.jpeg,1586ffa80d867b37fa9275ef885ca21957249576cf4b9e68398d033802353d1b
/books/OL12775270M,EN,STRONG,7,EDITORIAL_CORE,Logic Programming,Peter J. Stuckey,9783540439301,2002,Springer,RECOVERED,TITLE_AUTHOR,/works/OL27314143W,Functional and Logic Programming,Yukiyoshi Kameyama | Peter J. Stuckey,/books/OL9691182M,Functional and Logic Programming,eng,0.9600,1.0000,0.9600,2218577,329,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12775270M__OL9691182M.jpeg,4f6932f37c86d426e9bf3384629d09013434f67f87ab25800cc8e5f085511e77
/books/OL12799268M,EN,STRONG,7,EDITORIAL_CORE,Old Colony Mennonites in Argentina and Bolivia,Lorenzo Canas Bottos,9789004160958,2008,Brill,RECOVERED,TITLE_AUTHOR,/works/OL12372664W,Old Colony Mennonites in Argentina and Bolivia,Lorenzo Cañás Bottos,/books/OL18283883M,Old Colony Mennonites in Argentina and Bolivia,eng,1.0000,1.0000,1.0000,9636831,333,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12799268M__OL18283883M.jpeg,fbb79125cd30d75131af08948a1e4ba404090bd74abf83b0807fdf3e5a065fd9
/books/OL12802050M,EN,PROMISING,5,EDITORIAL_CORE,Perspectives on the Emergence of Scientific Disciplines,Gerard Lamaine,9789027977434,1977,Walter De Gruyter Inc,RECOVERED,TITLE_ONLY,/works/OL17977512W,Perspectives on the emergence of scientific disciplines,Gérard Lemaine,/books/OL4629397M,Perspectives on the emergence of scientific disciplines,eng,1.0000,0.9286,1.0000,9994893,308,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12802050M__OL4629397M.jpeg,efab7e98c3b890a4a0afd30006fb6346775907c4507632f5e2cbef94c753934b
/books/OL12845829M,EN,PROMISING,5,EDITORIAL_CORE,Revealing New Worlds,Suzanne LeMay Sheffield,9789058231574,2001,Harwood Academic Publishers,RECOVERED,TITLE_ONLY,/works/OL6069047W,Revealing new worlds,Suzanne Le-May Sheffield,/books/OL3746924M,Revealing new worlds,eng,1.0000,0.9787,1.0000,1213198,297,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12845829M__OL3746924M.jpeg,ee6234a9e45d2cf52127b56378586fdfaca154a564c20e12328a2b66a1ebd864
/books/OL12912915M,EN,PROMISING,5,EDITORIAL_CORE,Josef Paul Kleihues,Andrea & Thorsten Scheer (Eds.) Mesecke,9783786114369,1996,Birkhauser,RECOVERED,TITLE_ONLY,/works/OL18282110W,Josef Paul Kleihues,Andrea Mesecke | Thorsten Scheer,/books/OL9399757M,Josef Paul Kleihues,eng | ger,1.0000,0.9600,1.0000,4971989,128,160,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12912915M__OL9399757M.jpeg,1c1fd82004f59db03fdcdda08c7ae8f8dccd31492d3d880658bbc4c033016ab3
/books/OL13592729M,EN,PROMISING,5,EDITORIAL_CORE,Families and neighborhoods,Alvis T. Harthern,9780382082108,1986,Silver Burdett Co.,RECOVERED,TITLE_AUTHOR,/works/OL16034658W,Families and neighborhoods,Alvis T. Harthern,/books/OL24936713M,Families and neighborhoods,eng,1.0000,1.0000,1.0000,6956973,373,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL13592729M__OL24936713M.jpeg,73f8a03a787fcc18545b0d579da34d6ff21733683b4a89827cb6e90d97e04245
/books/OL14879499M,EN,PROMISING,5,EDITORIAL_CORE,Interpreting American history,John Arthur Garraty,9780023406508,1970,Macmillan (N.Y.),RECOVERED,TITLE_AUTHOR,/works/OL59755W,Interpreting American history,John Arthur Garraty,/books/OL5696877M,Interpreting American history,eng,1.0000,1.0000,1.0000,6635309,324,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL14879499M__OL5696877M.jpeg,d3192dbcb43d7ef0f44d96d5fe65b0e150a2bd58ef347f11e09cc3c452c38ae7
/books/OL14967499M,EN,PROMISING,5,EDITORIAL_CORE,Tales of the weirrd,Ralph Steadman,9780224030298,1990,Cape,RECOVERED,TITLE_AUTHOR,/works/OL2254808W,Tales of the weirrd [sic],Ralph Steadman,/books/OL3670521M,Tales of the weirrd [sic],eng,0.9600,1.0000,0.9600,773210,340,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL14967499M__OL3670521M.jpeg,8d8b00c72825072618b687d4c0b00e346a59061265cff5f5a2c69d2f5a38d695
/books/OL15152528M,EN,PROMISING,5,EDITORIAL_CORE,Physics of the Stoics,Samuel Sambursky,9780710213068,1987,Routledge & Kegan Paul,RECOVERED,TITLE_AUTHOR,/works/OL21089212W,Physics of the Stoics,Samuel Sambursky,/books/OL28546577M,Physics of the Stoics,eng,1.0000,1.0000,1.0000,13246136,350,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL15152528M__OL28546577M.jpeg,d70d0da3645aee0eee88f985276cd7ee6c822dee1413e8dcf5e47fc032802649
