row_index,language,author,title,work_key,edition_key,cover_id,cover_local_path,cover_image_url,resolved_path,cover_state,sha256,size_bytes,source_file
26,NL,Arnon Grunberg,De man zonder ziekte,/works/OL19964025W,/books/OL27144244M,11485300,data/cache/nl-mass-editorial-engine/covers/NL-OL27144244M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL27144244M.jpeg,LOCAL_FILE_OK,355d208da5e2c2487b70b9fb6b8a6e9d9c44940e98d041d1fe3ce89583c88c0e,35406,data/audit/nl-fast-v2-selected-pagecount.csv
27,NL,Arnon Grunberg,Fantoompijn,/works/OL28589234W,/books/OL39199162M,12830396,data/cache/nl-mass-editorial-engine/covers/NL-OL39199162M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL39199162M.jpeg,LOCAL_FILE_OK,bad0a587ba5ff1babf3f9f54b7aec2f4ee22d2b47e36e0d119c78749cc3b340a,11882,data/audit/nl-fast-v2-selected-pagecount.csv
28,NL,Arnon Grunberg,Grunbergbijbel,/works/OL27710377W,/books/OL37801486M,12709041,data/cache/nl-mass-editorial-engine/covers/NL-OL37801486M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL37801486M.jpeg,LOCAL_FILE_OK,28b7483a80471a5d105dac7663fa7a65d14c25a864230f6318992225a1a8a9ea,30249,data/audit/nl-fast-v2-selected-pagecount.csv
29,NL,Arnon Grunberg,Het aapje dat geluk pakt,/works/OL24269374W,/books/OL32104880M,10762151,data/cache/nl-mass-editorial-engine/covers/NL-OL32104880M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32104880M.jpeg,LOCAL_FILE_OK,3b8a1bd1b826e73da85fb208cbf1d62e67b6591ef9744518da93f102d44d7e94,41753,data/audit/nl-fast-v2-selected-pagecount.csv
30,NL,Arnon Grunberg,Het bestand,/works/OL22950663W,/books/OL30857914M,10966167,data/cache/nl-mass-editorial-engine/covers/NL-OL30857914M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL30857914M.jpeg,LOCAL_FILE_OK,9be151b6baa05e983e7fb229986d628ace08ebc92b8d98037d5991329b2c6f50,31642,data/audit/nl-fast-v2-selected-pagecount.csv
31,NL,Arnon Grunberg,Het tweede bestand,/works/OL24798074W,/books/OL32945845M,11562246,data/cache/nl-mass-editorial-engine/covers/NL-OL32945845M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32945845M.jpeg,LOCAL_FILE_OK,1d95a4b7194e59e926f5d6a2a805474366b1e32ca820a4d833d8069f6cb960b9,20330,data/audit/nl-fast-v2-selected-pagecount.csv
32,NL,Arnon Grunberg,Karel heeft echt bestaan,/works/OL16798143W,/books/OL25419715M,7244731,data/cache/nl-mass-editorial-engine/covers/NL-OL25419715M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL25419715M.jpeg,LOCAL_FILE_OK,2c5e8031f5670757c0247119d79fe6cebfbd2f9c6c0f9930b59e79f43d84dd05,60588,data/audit/nl-fast-v2-selected-pagecount.csv
33,NL,Arnon Grunberg,Liefde is business,/works/OL27961149W,/books/OL38216098M,12765713,data/cache/nl-mass-editorial-engine/covers/NL-OL38216098M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL38216098M.jpeg,LOCAL_FILE_OK,88a7d52a716abe4506e375e921ecfb7490ee230d8c7942251aaeda5ba0e2cd8c,19844,data/audit/nl-fast-v2-selected-pagecount.csv
34,NL,Arnon Grunberg,Moedervlekken,/works/OL34825811W,/books/OL47179626M,13596171,data/cache/nl-mass-editorial-engine/covers/NL-OL47179626M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL47179626M.jpeg,LOCAL_FILE_OK,376e003699c0ab8cd2030145af2938bf3fba8a7838d90786905f0c2285c6687e,42100,data/audit/nl-fast-v2-selected-pagecount.csv
35,NL,Arnon Grunberg,Nee / Je weet hoe vossen zijn,/works/OL28151965W,/books/OL38538519M,12794883,data/cache/nl-mass-editorial-engine/covers/NL-OL38538519M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL38538519M.jpeg,LOCAL_FILE_OK,601659477830cda857ff8e6b25a0714a091007dee7316ba482c8b88757f6da23,19648,data/audit/nl-fast-v2-selected-pagecount.csv
36,NL,Arthur Japin,Alle verhalen,/works/OL23980894W,/books/OL31682494M,10728436,data/cache/nl-mass-editorial-engine/covers/NL-OL31682494M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL31682494M.jpeg,LOCAL_FILE_OK,d9d50b548641bf97ae6121c21bcf6bcd65134a30cda4aa0d6e8bd6897bb8b6d6,33903,data/audit/nl-fast-v2-selected-pagecount.csv
37,NL,Arthur Japin,De grote wereld,/works/OL15313031W,/books/OL24332406M,6460322,data/cache/nl-mass-editorial-engine/covers/NL-OL24332406M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL24332406M.jpeg,LOCAL_FILE_OK,7627ac03bf46ba7227c2d8a8191bfbe96098a1885562d4fbffde28a528cb8acb,22211,data/audit/nl-fast-v2-selected-pagecount.csv
38,NL,Arthur Japin,DE KLANK VAN SNEEUW,/works/OL9096464W,/books/OL9097588M,14287575,data/cache/nl-mass-editorial-engine/covers/NL-OL9097588M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL9097588M.jpeg,LOCAL_FILE_OK,c67d3858cc820af275afa947d7123023629dbc4fb9a88c0f7d3b197d17b8791e,35158,data/audit/nl-fast-v2-selected-pagecount.csv
