language,source_stage,target_index,category,target_author,target_work,work_key,edition_key,edition_title,edition_languages,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_local_path,page_count_state,page_count_source
DE,INITIAL,33,GERMAN_LANGUAGE_CANON,Franz Kafka,Die Verwandlung,/works/OL30025146W,/books/OL41274517M,Die Verwandlung,ger,9781092787130,Independently Published,2019,91,13638782,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-033-OL41274517M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,34,GERMAN_LANGUAGE_CANON,Franz Kafka,Der Prozess,/works/OL33094027W,/books/OL44963358M,Der Prozess,ger,9783878775003,Stroemfeld Verlag,2008,411,13825843,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-034-OL44963358M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,35,GERMAN_LANGUAGE_CANON,Franz Kafka,Das Schloss,/works/OL24259440W,/books/OL32091680M,Das Schloß,ger,9783596126637,Fischer Taschenbuch-Verl.,1996,357,10746476,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-035-OL32091680M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,37,TWENTIETH_CENTURY,Thomas Mann,Doktor Faustus,/works/OL14866725W,/books/OL9013631M,Doktor Faustus ( Frankfurter Ausgabe).,ger,9783100482204,"Fischer (S.), Frankfurt","January 1, 1980",746,995535,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-037-OL9013631M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,41,TWENTIETH_CENTURY,Erich Maria Remarque,Im Westen nichts Neues,/works/OL1209288W,/books/OL27794450M,Im westen nichts neues,ger,,Propyläen-verlag,1929,288,9301147,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-041-OL27794450M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,43,TWENTIETH_CENTURY,Bertolt Brecht,Der gute Mensch von Sezuan,/works/OL8089139W,/books/OL9050194M,Der Gute Mensch Von Sezuan,ger,9783518100738,Distribooks Int'l+inc,1964,144,10461283,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-043-OL9050194M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,44,TWENTIETH_CENTURY,Heinrich Böll,Die verlorene Ehre der Katharina Blum,/works/OL15394878W,/books/OL14972544M,Die verlorene Ehre der Katharina Blum,ger,0245535470,Harrap,1980,,10608277,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-044-OL14972544M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,45,TWENTIETH_CENTURY,Heinrich Böll,Ansichten eines Clowns,/works/OL8114847W,/books/OL9861826M,Ansichten Eines Clowns,ger,9783462021950,Distribooks Int'l+inc,,247,2206980,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-045-OL9861826M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,46,TWENTIETH_CENTURY,Günter Grass,Die Blechtrommel,/works/OL67334W,/books/OL38213423M,Die Blechtrommel,ger,9783436004781,Fischer,1962,492,15140972,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-046-OL38213423M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,47,TWENTIETH_CENTURY,Günter Grass,Katz und Maus,/works/OL16915317W,/books/OL9043263M,Katz und Maus,ger,9783472611486,Luchterhand,1982,,9839515,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-047-OL9043263M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,48,TWENTIETH_CENTURY,Max Frisch,Stiller,/works/OL865476W,/books/OL24943592M,I'm not Stiller,eng | ger,9780394702193,Vintage Books,1958,404,6956198,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-048-OL24943592M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,49,TWENTIETH_CENTURY,Max Frisch,Homo faber,/works/OL18169803W,/books/OL9018865M,Homo Faber,ger,9783150081792,"Reclam, Ditzingen","December 16, 1999",196,996975,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-049-OL9018865M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,50,TWENTIETH_CENTURY,Friedrich Dürrenmatt,Der Richter und sein Henker,/works/OL8584542W,/books/OL14972899M,Der Richter und sein Henker,ger,0245574360,Harrap,1962,,11407415,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-050-OL14972899M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,51,TWENTIETH_CENTURY,Friedrich Dürrenmatt,Der Besuch der alten Dame,/works/OL16030304W,/books/OL24944210M,Der Besuch der alten Dame,ger,3257208359,Diogenes,1985,152,6877722,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-051-OL24944210M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,53,TWENTIETH_CENTURY,Paul Celan,Mohn und Gedächtnis,/works/OL11330229W,/books/OL14983614M,Mohn und Gedächtnis,ger,3421060649,Deutsche Verlags-Anstalt,1994,79,15019605,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-053-OL14983614M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,54,TWENTIETH_CENTURY,Anna Seghers,Das siebte Kreuz,/works/OL8769634W,/books/OL15447121M,Das siebte Kreuz,ger,3472611081,Luchterhand,1987,288,9818349,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-054-OL15447121M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,55,TWENTIETH_CENTURY,Stefan Zweig,Schachnovelle,/works/OL19070206W,/books/OL26726926M,Schachnovelle,ger,9783100970916,Fisher Verlag,"Jan 01, 1959",109,8384249,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-055-OL26726926M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,57,TWENTIETH_CENTURY,Robert Musil,Der Mann ohne Eigenschaften,/works/OL17816164W,/books/OL3071515M,Der Mann ohne Eigenschaften,ger,3498092855,Rowohlt,1981,2159,1013650,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-057-OL3071515M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
