sha256,group_type,owner_count,source_type,source_identity,language,title,authors,edition_key,source_path,canonical_cover_file
0d7701883b51ccae1f74d09feee59136388feff7c695c61b825738d02e73c405,WITHIN_KEEP,2,KEEP,/books/OL2203817M,EN,Bufo & Spallanzani,Rubem Fonseca,,data/covers/full/ol-cover-9327854.jpg,data/covers/final/cover-0d7701883b51ccae1f74d09feee59136388feff7c695c61b825738d02e73c405.jpg
3c4cad9f80e5f12262391411decdf74dc26d81105e1e466aa4b8e428b837b898,WITHIN_KEEP,2,KEEP,/books/OL16335199M,DE,"Das ""genie,"" roman.",Theodore Dreiser,,data/covers/full/ol-cover-8369941.jpg,data/covers/final/cover-3c4cad9f80e5f12262391411decdf74dc26d81105e1e466aa4b8e428b837b898.jpg
3c4cad9f80e5f12262391411decdf74dc26d81105e1e466aa4b8e428b837b898,WITHIN_KEEP,2,KEEP,/books/OL32060731M,EN,The Genius,Theodore Dreiser,,data/covers/full/ol-cover-8369941.jpg,data/covers/final/cover-3c4cad9f80e5f12262391411decdf74dc26d81105e1e466aa4b8e428b837b898.jpg
bde5e1b031f102b518cce474e6332d30653f356cf7932c274cd2b71bb1244864,WITHIN_KEEP,2,KEEP,/books/OL15149185M,DE,Das Buch über mich selbst,Theodore Dreiser,,data/covers/full/ol-cover-5905674.jpg,data/covers/final/cover-bde5e1b031f102b518cce474e6332d30653f356cf7932c274cd2b71bb1244864.jpg
bde5e1b031f102b518cce474e6332d30653f356cf7932c274cd2b71bb1244864,WITHIN_KEEP,2,KEEP,/books/OL24178983M,EN,A book about myself,Theodore Dreiser,,data/covers/full/ol-cover-5905674.jpg,data/covers/final/cover-bde5e1b031f102b518cce474e6332d30653f356cf7932c274cd2b71bb1244864.jpg
47810c8abc3035d0eb48751f5a375a82a0e91a147e662be4a50ab20c6850ca23,WITHIN_KEEP,2,KEEP,/books/OL6726711M,DE,Der Titan,Theodore Dreiser,,data/covers/full/ol-cover-9330147.jpg,data/covers/final/cover-47810c8abc3035d0eb48751f5a375a82a0e91a147e662be4a50ab20c6850ca23.jpg
47810c8abc3035d0eb48751f5a375a82a0e91a147e662be4a50ab20c6850ca23,WITHIN_KEEP,2,KEEP,/books/OL32060649M,EN,The Titan,Theodore Dreiser,,data/covers/full/ol-cover-9330147.jpg,data/covers/final/cover-47810c8abc3035d0eb48751f5a375a82a0e91a147e662be4a50ab20c6850ca23.jpg
c0dbdc6af209e6c5f9dbda21779f9e529a23cc2874091e5fef7274d2c4cd41bc,WITHIN_KEEP,2,KEEP,/books/OL14261765M,DE,Der unentwegte,Theodore Dreiser,,data/covers/full/ol-cover-9330051.jpg,data/covers/final/cover-c0dbdc6af209e6c5f9dbda21779f9e529a23cc2874091e5fef7274d2c4cd41bc.jpg
c0dbdc6af209e6c5f9dbda21779f9e529a23cc2874091e5fef7274d2c4cd41bc,WITHIN_KEEP,2,KEEP,/books/OL6515095M,EN,The stoic.,Theodore Dreiser,,data/covers/full/ol-cover-9330051.jpg,data/covers/final/cover-c0dbdc6af209e6c5f9dbda21779f9e529a23cc2874091e5fef7274d2c4cd41bc.jpg
21f63232fb1e329b20c84ed16ba7b8604f5feeb04a5804aeafaaa584f0d3ce80,WITHIN_KEEP,2,KEEP,/books/OL13717918M,DE,Jennie Gerhardt.,Theodore Dreiser,,data/covers/full/ol-cover-8293201.jpg,data/covers/final/cover-21f63232fb1e329b20c84ed16ba7b8604f5feeb04a5804aeafaaa584f0d3ce80.jpg
21f63232fb1e329b20c84ed16ba7b8604f5feeb04a5804aeafaaa584f0d3ce80,WITHIN_KEEP,2,KEEP,/books/OL32060640M,EN,Jennie Gerhardt,Theodore Dreiser,,data/covers/full/ol-cover-8293201.jpg,data/covers/final/cover-21f63232fb1e329b20c84ed16ba7b8604f5feeb04a5804aeafaaa584f0d3ce80.jpg
76f45afa8abc35f2ffa2e83aa9c0111496a30d14d848fa80462833813b69808e,WITHIN_KEEP,2,KEEP,/books/OL12824718M,DE,Das dunkle Herz.,Timothy Findley,,data/covers/full/ol-cover-6742526.jpg,data/covers/final/cover-76f45afa8abc35f2ffa2e83aa9c0111496a30d14d848fa80462833813b69808e.jpg
76f45afa8abc35f2ffa2e83aa9c0111496a30d14d848fa80462833813b69808e,WITHIN_KEEP,2,KEEP,/books/OL17957042M,FR,Chasseur de t^etes,Timothy Findley,,data/covers/full/ol-cover-6742526.jpg,data/covers/final/cover-76f45afa8abc35f2ffa2e83aa9c0111496a30d14d848fa80462833813b69808e.jpg
536a858f0b5d740c01f42fed8563b78581068cd73b2ce64ecedc0e5591c5812f,WITHIN_KEEP,3,KEEP,/books/OL12811675M,DE,Der Gesandte,Timothy Findley,,data/covers/full/ol-cover-22826.jpg,data/covers/final/cover-536a858f0b5d740c01f42fed8563b78581068cd73b2ce64ecedc0e5591c5812f.jpg
536a858f0b5d740c01f42fed8563b78581068cd73b2ce64ecedc0e5591c5812f,WITHIN_KEEP,3,KEEP,/books/OL19920334M,NL,Pelgrim,Timothy Findley,,data/covers/full/ol-cover-22826.jpg,data/covers/final/cover-536a858f0b5d740c01f42fed8563b78581068cd73b2ce64ecedc0e5591c5812f.jpg
536a858f0b5d740c01f42fed8563b78581068cd73b2ce64ecedc0e5591c5812f,WITHIN_KEEP,3,KEEP,/books/OL32133443M,FR,Pilgrim,Timothy Findley,,data/covers/full/ol-cover-22826.jpg,data/covers/final/cover-536a858f0b5d740c01f42fed8563b78581068cd73b2ce64ecedc0e5591c5812f.jpg
d8c2d9e7d34eb062a6649418875e1e5f8a7e38d5be67c8bb2f170c73e61fa691,WITHIN_KEEP,2,KEEP,/books/OL17397934M,DE,Krieg und die Kröte,Timothy Findley,,data/covers/full/ol-cover-9325224.jpg,data/covers/final/cover-d8c2d9e7d34eb062a6649418875e1e5f8a7e38d5be67c8bb2f170c73e61fa691.jpg
d8c2d9e7d34eb062a6649418875e1e5f8a7e38d5be67c8bb2f170c73e61fa691,WITHIN_KEEP,2,KEEP,/books/OL20166471M,FR,Guerres,Timothy Findley,,data/covers/full/ol-cover-9325224.jpg,data/covers/final/cover-d8c2d9e7d34eb062a6649418875e1e5f8a7e38d5be67c8bb2f170c73e61fa691.jpg
3059884b6159b0732709f9a0f68bd3004ba69177c0a2a2c1edd33e59a2bc8845,WITHIN_KEEP,2,KEEP,/books/OL12811678M,DE,Mauberleys Ende,Timothy Findley,,data/covers/full/ol-cover-5309092.jpg,data/covers/final/cover-3059884b6159b0732709f9a0f68bd3004ba69177c0a2a2c1edd33e59a2bc8845.jpg
3059884b6159b0732709f9a0f68bd3004ba69177c0a2a2c1edd33e59a2bc8845,WITHIN_KEEP,2,KEEP,/books/OL32117088M,FR,Le Grand Elysium Hôtel,Timothy Findley,,data/covers/full/ol-cover-5309092.jpg,data/covers/final/cover-3059884b6159b0732709f9a0f68bd3004ba69177c0a2a2c1edd33e59a2bc8845.jpg
cbbe6c96068dffa5486cb73ddb3766802e6083c212a244a77163e3ae4269c3da,WITHIN_KEEP,2,KEEP,/books/OL26388363M,NL,Gestolen leven,Adam Johnson,,data/covers/full/ol-cover-8148374.jpg,data/covers/final/cover-cbbe6c96068dffa5486cb73ddb3766802e6083c212a244a77163e3ae4269c3da.jpg
cbbe6c96068dffa5486cb73ddb3766802e6083c212a244a77163e3ae4269c3da,WITHIN_KEEP,2,KEEP,/books/OL26388382M,FR,La Vie volée de Jun Do,Adam Johnson,,data/covers/full/ol-cover-8148374.jpg,data/covers/final/cover-cbbe6c96068dffa5486cb73ddb3766802e6083c212a244a77163e3ae4269c3da.jpg
