target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
28,IT,ITALIAN_CANON,1,Ugo Foscolo,Ultime lettere di Jacopo Ortis,TITLE_AUTHOR,/works/OL11385137W,Ultime lettere di Jacopo Ortis,Ugo Foscolo,/books/OL15086381M,Ultime lettere di Jacopo Ortis.,,ita,,Berthoud,1818,,11934725,1.0,1.0,0.9550000000000001,VALID_COVER,256,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-028-OL15086381M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
29,IT,ITALIAN_CANON,1,Ugo Foscolo,Dei Sepolcri,TITLE_AUTHOR,/works/OL15667699W,Dei Sepolcri,Ugo Foscolo,/books/OL24598455M,Dei Sepolcri,carme,ita,,Tedeschi,1889,,9804728,1.0,1.0,0.9550000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-029-OL24598455M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
30,IT,ITALIAN_CANON,1,Alessandro Manzoni,I promessi sposi,TITLE_AUTHOR,/works/OL16470621W,I promessi sposi,"Errico Petrella | Antonio Ghislanzoni | Alessandro Manzoni | Giovanni Giannetti | Petrella, Errico, 1813-1877, composer",/books/OL25604744M,I promessi sposi,melodramma in quattro atti,ita,,Tip. Roux e Favale,1881,,9497441,1.0,1.0,0.9550000000000001,VALID_COVER,290,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-030-OL25604744M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
31,IT,ITALIAN_CANON,1,Alessandro Manzoni,Adelchi,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
32,IT,ITALIAN_CANON,1,Giacomo Leopardi,Canti,TITLE_AUTHOR,/works/OL19767644W,Canti,Giacomo Leopardi,/books/OL32370158M,Canti,,ita,9788811581024,Garzanti,1988,,11023185,1.0,1.0,0.9850000000000001,VALID_COVER,304,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-032-OL32370158M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
33,IT,ITALIAN_CANON,1,Giacomo Leopardi,Operette morali,TITLE_AUTHOR,/works/OL15102115W,Operette morali,Giacomo Leopardi,/books/OL21198457M,Operette morali =,The moral essays,eng | ita,0231057067,Columbia University Press,1983,,4279742,1.0,1.0,0.9850000000000001,VALID_COVER,128,191,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-033-OL21198457M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
34,IT,ITALIAN_CANON,1,Giovanni Verga,I Malavoglia,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
35,IT,ITALIAN_CANON,1,Giovanni Verga,Mastro-don Gesualdo,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
36,IT,ITALIAN_CANON,1,Giovanni Verga,Vita dei campi,TITLE_ONLY,/works/OL479230W,Vita dei campi,Giovanni Verga | Vergastoria Di Soprusi E Di Indifferenza | Ferdinando de Martino | Maurizio Palarchi | Roberto Melis | Vincenzo Consolo,/books/OL2233248M,Vita dei campi,,ita,8800811418,Banco di Sicilia,1987,,4099324,1.0,1.0,0.9850000000000001,VALID_COVER,128,182,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-036-OL2233248M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
37,IT,ITALIAN_CANON,1,Giovanni Verga,Novelle rusticane,BROAD,/works/OL479242W,Novelle rusticane,Giovanni Verga,/books/OL16739250M,Novelle rusticane,,ita,,Casanova,1885,,5973368,1.0,1.0,0.9550000000000001,VALID_COVER,330,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-037-OL16739250M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
