language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason,page_count_state,page_count_source,cross_language_collision,cross_language_owner_count
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL850959W,De heilige Antonio,Arnon Grunberg,1.0000,1998,/books/OL37064229M,De heilige Antonio,,dut,1.0000,9789038894751,Nijgh & Van Ditmar,2011,133,12636148,VALID_COVER,293,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL37064229M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL19964025W,De man zonder ziekte,Arnon Grunberg,1.0000,2012,/books/OL27144244M,De man zonder ziekte,roman,dut,1.0000,9789038894836,Nijgh & Van Ditmar,2012,221,11485300,VALID_COVER,277,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL27144244M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL28589234W,Fantoompijn,Arnon Grunberg,1.0000,2005,/books/OL39199162M,Fantoompijn,,dut,1.0000,9789041350503,Singel Pockets,2005,254,12830396,VALID_COVER,279,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL39199162M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL27710377W,Grunbergbijbel,Arnon Grunberg,1.0000,2005,/books/OL37801486M,Grunbergbijbel,,dut,1.0000,9789025317546,Athenaeum-Polak & Van Gennep,2005,290,12709041,VALID_COVER,321,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL37801486M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL24269374W,Het aapje dat geluk pakt,Arnon Grunberg,1.0000,2005,/books/OL32104880M,Het aapje dat geluk pakt,,dut,1.0000,9789038827162,Nijgh & Van Ditmar,2005,123,10762151,VALID_COVER,282,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32104880M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL22950663W,Het bestand,Arnon Grunberg,1.0000,2015,/books/OL30857914M,Het bestand,,dut,1.0000,9789038899886,Nijgh & Van Ditmar,2015,171,10966167,VALID_COVER,282,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30857914M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL24798074W,Het tweede bestand,Arnon Grunberg,1.0000,2017,/books/OL32945845M,Het tweede bestand,,dut,1.0000,9789038804125,Nijgh & Van Ditmar,2017,61,11562246,VALID_COVER,316,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32945845M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL16798143W,Karel heeft echt bestaan,Arnon Grunberg,1.0000,2008,/books/OL25419715M,Karel heeft echt bestaan,over het werk van Karel van het Reve,dut,1.0000,9789028240971,Van Oorschot,2008,29,7244731,VALID_COVER,327,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL25419715M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL27961149W,Liefde is business,Arnon Grunberg,1.0000,2002,/books/OL38216098M,Liefde is business,gedichten,dut,1.0000,9789038827001,Nijgh & Van Ditmar,2002,181,12765713,VALID_COVER,285,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL38216098M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL34825811W,Moedervlekken,Arnon Grunberg,1.0000,2016,/books/OL47179626M,Moedervlekken,,dut,1.0000,9789048819133,Lebowski Publishers,2016,399,13596171,VALID_COVER,321,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL47179626M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
