language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason,page_count_state,page_count_source,cross_language_collision,cross_language_owner_count
EN,CONTEMPORARY,Cormac McCarthy,1,9,13,/works/OL40879W,Blood Meridian,Cormac McCarthy,1.0000,1985,/books/OL1566695M,Blood Meridian,"Or, The evening redness in the West",eng,1.0000,0679728759,Vintage Books,1992,337,15248079,VALID_COVER,324,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL1566695M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Cormac McCarthy,1,9,13,/works/OL40878W,Child of God,Cormac McCarthy,1.0000,1974,/books/OL42848625M,Child of God,,eng,1.0000,9781447212478,Picador,2011,185,14633657,VALID_COVER,328,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL42848625M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Cormac McCarthy,1,9,13,/works/OL40869W,Cities of the Plain,Cormac McCarthy,1.0000,1998,/books/OL22326475M,Cities of the plain,,eng,1.0000,0679423907,Kopf,1998,,9158767,VALID_COVER,338,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL22326475M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,NO_PAGE_COUNT,,NO,1
EN,CONTEMPORARY,Cormac McCarthy,1,9,13,/works/OL36072548W,Cormac Mccarthy : Vol I,Cormac McCarthy | Stephen R. Pastore | Paul J. Ford,1.0000,2013,/books/OL48730222M,Cormac Mccarthy : Vol I,a Bibliography,eng,1.0000,9781937727338,Grand Mal Press,2013,438,15254489,VALID_COVER,314,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL48730222M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:pagination,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL482448W,A 'peculiar' place,David Mitchell,1.0000,1989,/books/OL1801970M,A 'peculiar' place,"the Adelaide Hospital, Dublin : its t imes, places and personalities, 1839 to 1989",eng,1.0000,0905471164,Blackwater,1989,336,13237267,VALID_COVER,500,281,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL1801970M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL271982W,Black Swan Green,David Mitchell,1.0000,2006,/books/OL32830092M,Black Swan Green,,eng,1.0000,9781846175756,Charnwood,2007,494,11462094,VALID_COVER,305,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32830092M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL271978W,British Railways Past and Present,David Mitchell,1.0000,1991,/books/OL12042906M,British Railways Past and Present,,eng,1.0000,9781858950884,Past & Present Publishing Ltd,"January 24, 1996",168,3011158,VALID_COVER,361,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL12042906M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL482454W,Cloud Atlas,David Mitchell,1.0000,2004,/books/OL32980593M,Cloud Atlas,,eng,1.0000,9781444730043,Sceptre,2011,853,11605519,VALID_COVER,315,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32980593M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL18569460W,Complete Origami,David Mitchell,1.0000,2008,/books/OL23963357M,Complete Origami,"Easy Techniques, 25 Great Projects",eng,1.0000,9781554074594,Firefly Books,2009,159,12195146,VALID_COVER,496,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL23963357M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL22135354W,David Mitchell,David Mitchell,1.0000,2012,/books/OL32885642M,David Mitchell,Back Story,eng,1.0000,9780007351725,HarperCollins,"Jul 28, 2012",326,11516881,VALID_COVER,327,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32885642M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL21338542W,Dishonesty is the Second-Best Policy and Other Rules to Live By,David Mitchell,1.0000,2019,/books/OL29467670M,Dishonesty Is the Second-Best Policy,And Other Rules to Live By,eng,1.0000,9781783351985,"Faber & Faber, Limited",2020,272,14670261,VALID_COVER,260,400,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL29467670M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL6345194W,Amazons,Don DeLillo,1.0000,1980,/books/OL4123639M,Amazons,an intimate memoir by the first woman ever to play in the National Hockey League,eng,1.0000,0030554268,"Holt, Rinehart, and Winston",1980,390,15120473,VALID_COVER,305,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL4123639M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL1921186W,Americana,Don DeLillo,1.0000,1971,/books/OL4768711M,Americana.,,eng,1.0000,0395120942,Houghton Mifflin,1971,388,15181775,VALID_COVER,339,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL4768711M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL15401751W,Andreas Gursky,Don DeLillo,1.0000,2007,/books/OL9546836M,Andreas Gursky,,eng,1.0000,9783936859621,Ram Distribution,"June 1, 2007",158,2260201,VALID_COVER,386,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL9546836M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL1921159W,Conversations with Don DeLillo,Don DeLillo,1.0000,2005,/books/OL3309851M,Conversations with Don DeLillo,,eng,1.0000,1578067030,University of Mississippi,2005,183,834157,VALID_COVER,328,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL3309851M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL1921194W,Cosmopolis,Don DeLillo,1.0000,2003,/books/OL30726136M,Cosmopolis,a novel,eng,1.0000,9781451689396,Scribner,2012,209,11610974,VALID_COVER,328,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL30726136M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL15401752W,Dial H-I-S-T-O-R-Y (Hatje Cantz),Don DeLillo,1.0000,2003,/books/OL9101717M,Dial H-I-S-T-O-R-Y (Hatje Cantz),,eng,1.0000,9783775712675,Hatje Cantz Publishers,"September 2, 2003",80,1025716,VALID_COVER,345,475,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL9101717M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL1921195W,End Zone,Don DeLillo,1.0000,1972,/books/OL18307147M,End zone,,eng,1.0000,0140085688,Penguin Books,1986,242,6494509,VALID_COVER,294,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL18307147M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL15401753W,Grand Street 73,Don DeLillo,1.0000,2004,/books/OL8704165M,Grand Street 73,Delusions (Grand Street),eng,1.0000,9781885490247,Grand Street,"June 30, 2004",221,932781,VALID_COVER,430,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL8704165M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Don DeLillo,1,9,13,/works/OL1921187W,Great Jones Street,Don DeLillo,1.0000,1973,/books/OL1047480M,Great Jones Street,,eng,1.0000,0140179178,Penguin Books,1994,265,96950,VALID_COVER,326,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL1047480M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
