target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
25,DE,GERMAN_LANGUAGE_CANON,1,Arthur Schnitzler,Fräulein Else,TITLE_AUTHOR,/works/OL61413W,Fräulein Else,Arthur Schnitzler,/books/OL4770970M,Fräulein Else,a novel.,eng | ger,0404056113,Simon and Schuster,1971,,8326266,1.0,1.0,0.9850000000000001,VALID_COVER,338,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-025-OL4770970M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
26,DE,GERMAN_LANGUAGE_CANON,1,Hugo von Hofmannsthal,Jedermann,TITLE_AUTHOR,/works/OL43318572W,Jedermann,Hugo von Hofmannsthal | Andreas Thomasberger,/books/OL9019316M,jedermann,,ger,9783150180372,reclam,2000,,997679,1.0,1.0,0.9850000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-026-OL9019316M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
27,DE,GERMAN_LANGUAGE_CANON,1,Rainer Maria Rilke,Die Aufzeichnungen des Malte Laurids Brigge,TITLE_AUTHOR,/works/OL22058286W,Die Aufzeichnungen des Malte Laurids Brigge,Rainer Maria Rilke,/books/OL30093611M,Die Aufzeichnungen des Malte Laurids Brigge,,ger,9783518391938,Suhrkamp,1996,,10421485,1.0,1.0,0.9850000000000001,VALID_COVER,293,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-027-OL30093611M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
28,DE,GERMAN_LANGUAGE_CANON,1,Rainer Maria Rilke,Duineser Elegien,TITLE_AUTHOR,/works/OL3801010W,Duineser Elegien,Rainer Maria Rilke,/books/OL24593986M,Duineser Elegien =,Elegies from the castle of Duino,eng | ger,,Printed for the Hogarth Press,1931,,14824931,1.0,1.0,0.9550000000000001,VALID_COVER,313,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-028-OL24593986M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
29,DE,GERMAN_LANGUAGE_CANON,1,Thomas Mann,Buddenbrooks,TITLE_AUTHOR,/works/OL15381711W,Die Buddenbrooks,Thomas Mann,/books/OL8937526M,Die Buddenbrooks,,ger,9783804417311,Bange,"January 1, 2002",,1028130,0.95,1.0,0.9590000000000001,VALID_COVER,342,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-029-OL8937526M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
30,DE,GERMAN_LANGUAGE_CANON,1,Thomas Mann,Der Tod in Venedig,TITLE_AUTHOR,/works/OL14867028W,Der Tod in Venedig und andere Erzählungen,Thomas Mann,/books/OL9013673M,Der Tod in Venedig und andere Erzählungen.,,ger,9783100488121,"Fischer (S.), Frankfurt","February 1, 2000",,995573,0.95,1.0,0.9590000000000001,VALID_COVER,308,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-030-OL9013673M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
31,DE,GERMAN_LANGUAGE_CANON,1,Hermann Hesse,Unterm Rad,TITLE_AUTHOR,/works/OL24857878W,Unterm Rad,Hermann Hesse,/books/OL33039898M,Unterm Rad,Erzählung,ger,,Suhrkamp,1964,,11735943,1.0,1.0,0.9550000000000001,VALID_COVER,288,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-031-OL33039898M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
32,DE,GERMAN_LANGUAGE_CANON,1,Hermann Hesse,Demian,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
33,DE,GERMAN_LANGUAGE_CANON,1,Franz Kafka,Die Verwandlung,BROAD,/works/OL30025146W,Die Verwandlung,Franz Kafka,/books/OL41274517M,Die Verwandlung,,ger,9781092787130,Independently Published,2019,,13638782,1.0,1.0,0.9850000000000001,VALID_COVER,333,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-033-OL41274517M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
34,DE,GERMAN_LANGUAGE_CANON,1,Franz Kafka,Der Prozess,TITLE_AUTHOR,/works/OL33094027W,Der Prozess,Franz Kafka,/books/OL44963358M,Der Prozess,Roman,ger,9783878775003,Stroemfeld Verlag,2008,,13825843,1.0,1.0,0.9850000000000001,VALID_COVER,306,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-034-OL44963358M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
35,DE,GERMAN_LANGUAGE_CANON,1,Franz Kafka,Das Schloss,TITLE_AUTHOR,/works/OL24259440W,Das Schloß,Franz Kafka,/books/OL32091680M,Das Schloß,Roman,ger,9783596126637,Fischer Taschenbuch-Verl.,1996,,10746476,1.0,1.0,0.9850000000000001,VALID_COVER,284,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-035-OL32091680M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
36,DE,TWENTIETH_CENTURY,1,Thomas Mann,Der Zauberberg,TITLE_AUTHOR,/works/OL14866866W,Selbstkommentare: Der Zauberberg,Thomas Mann,/books/OL15280119M,Selbstkommentare: Der Zauberberg,,ger,3596268958,Fischer Taschenbuch,1993,,7081887,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-036-OL15280119M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
37,DE,TWENTIETH_CENTURY,1,Thomas Mann,Doktor Faustus,TITLE_AUTHOR,/works/OL14866725W,Doktor Faustus ( Frankfurter Ausgabe),Thomas Mann,/books/OL9013631M,Doktor Faustus ( Frankfurter Ausgabe).,,ger,9783100482204,"Fischer (S.), Frankfurt","January 1, 1980",,995535,0.95,1.0,0.9590000000000001,VALID_COVER,306,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-037-OL9013631M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
38,DE,TWENTIETH_CENTURY,1,Hermann Hesse,Der Steppenwolf,TITLE_AUTHOR,/works/OL15032907W,Der Steppenwolf. Erläuterungen und Dokumente,Hermann Hesse,/books/OL9018868M,Der Steppenwolf. Erläuterungen und Dokumente.,,ger,9783150081938,"Reclam, Ditzingen","October 1, 1992",,996979,0.95,1.0,0.9590000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-038-OL9018868M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
39,DE,TWENTIETH_CENTURY,1,Hermann Hesse,Das Glasperlenspiel,TITLE_AUTHOR,/works/OL15032974W,"Suhrkamp Taschenbücher, Nr.80, Materialien zu Hermann Hesse 'Das Glasperlenspiel'",Hermann Hesse,/books/OL9050731M,"Suhrkamp Taschenbücher, Nr.80, Materialien zu Hermann Hesse 'Das Glasperlenspiel'",,ger,9783518365809,Suhrkamp,"January 1, 1973",,1016481,0.95,1.0,0.9590000000000001,VALID_COVER,291,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-039-OL9050731M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
40,DE,TWENTIETH_CENTURY,1,Alfred Döblin,Berlin Alexanderplatz,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
41,DE,TWENTIETH_CENTURY,1,Erich Maria Remarque,Im Westen nichts Neues,TITLE_AUTHOR,/works/OL1209288W,Im Westen nichts Neues,Erich Maria Remarque,/books/OL27794450M,Im westen nichts neues,,ger,,Propyläen-verlag,1929,,9301147,1.0,1.0,0.9550000000000001,VALID_COVER,299,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-041-OL27794450M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
42,DE,TWENTIETH_CENTURY,1,Bertolt Brecht,Mutter Courage und ihre Kinder,TITLE_ONLY,/works/OL8088882W,Mutter Courage Und Ihre Kinder (Suhrkamp Taschenbuch Materialien),S. Brecht,/books/OL3089438M,"Brechts ""Mutter Courage und ihre Kinder""",,ger,351838516X,Suhrkamp,1982,,2212528,0.95,0.6363636363636364,0.8644545454545456,VALID_COVER,291,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-042-OL3089438M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
43,DE,TWENTIETH_CENTURY,1,Bertolt Brecht,Der gute Mensch von Sezuan,TITLE_AUTHOR,/works/OL8089139W,Der Gute Mensch Von Sezuan,Bertolt Brecht,/books/OL9050194M,Der Gute Mensch Von Sezuan,,ger,9783518100738,Distribooks Int'l+inc,1964,,10461283,1.0,1.0,0.9850000000000001,VALID_COVER,303,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-043-OL9050194M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
44,DE,TWENTIETH_CENTURY,1,Heinrich Böll,Die verlorene Ehre der Katharina Blum,TITLE_AUTHOR,/works/OL15394878W,Verlorene Ehre der Katharina Blum,Heinrich Böll,/books/OL14972544M,Die verlorene Ehre der Katharina Blum,,ger,0245535470,Harrap,1980,,10608277,1.0,1.0,0.9850000000000001,VALID_COVER,302,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-044-OL14972544M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
