source_key,work_key,cover_id,cover_file,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,cover_image_url,cover_width,cover_height,cover_bytes
/books/OL11346757M,/works/OL1000216W,2647678,ol-cover-2647678.jpg,The Jungle,,EN,9780812501988,1992,Tor Books,,"Earth is no more a home for mankind, it's still there as a white blazing star - a monument to the stupidity of man. The human race isn't extinct, it survived on the planet Venus. The planet had been undergoing terra forming when the earth was destroyed, thankfully that project was advanced enough to support survivors of Earth. But life on Venus isn't a picnic, temperatures are high and all flora and fauna, imported or local, are hell bent on destroying man. Add to that the greedy people who hire men to make war on the other keeps and shelters of man. A couple of very good stories by Master Author, David Drake.",/covers/catalogue/ol-cover-2647678.jpg,290,475,41038
/books/OL6782221M,/works/OL1000218W,406763,ol-cover-406763.jpg,"Lt. Leary, commanding",,EN,9780671578756,2000,Baen,,"To me, a good book that keeps one's interest all the way through and ends with a contented glow for the reader is a treasure beyond par. Master Author David Drake provides that in spades. This is the second book of the Leary series (With the Lightnings precedes it) where Lt. Leary retains command of his vessel and is assigned a mission which would daught many of his superiors. With his crack crew, Adele Mundy, Hogg and Tovera he proceeds to accomplish his mission in ways that the Commodore he is assigned to would never imagine. This, as referenced above, is a good book well worth reading.",,318,475,40850
/books/OL7527103M,/works/OL1000220W,7237812,ol-cover-7237812.jpg,Northworld,,EN,9780441848300,1990,Ace Books,,,,305,500,83726
/books/OL11758211M,/works/OL1000221W,2787321,ol-cover-2787321.jpg,Other Times Than Peace,,EN,9781416555667,2008,Baen,,,/covers/catalogue/ol-cover-2787321.jpg,329,500,52669
/books/OL7661235M,/works/OL1000223W,405513,ol-cover-405513.jpg,Ranks of Bronze,,EN,9780671655686,1986,Baen Books,,"Captured by aliens at the Carrhae disaster, the legendary legions of Rome are forced to battle barbarian armies throughout the galaxy until, after two thousand years, they set out to achieve their freedom from their captors.",,301,500,40725
/books/OL6786292M,/works/OL1000224W,182819,ol-cover-182819.jpg,Servant of the dragon,,EN,9780312864699,1999,Tor Fantasy,,"This is one of the best fantasies I've read, which is no surprise coming from the mind of David Drake. Wizards, good and evil, a bushel basket of true heroes, ghosts, dead soldiers walking and killing, magic artifacts, demons, a warrior bird and yes indeed, even a dragon - all encountered through various planes in time and space - it is all here in this book. I've not yet read Lord of the Isles I and II yet, and did not really feel the lack of that in enjoying this third in the series (tho seeing how good this one was, I will remedy that lack as soon as opportunity permits.) Standing alone, it is one heckuva good read with more twists and turns than one gets from dishonest politicians. Enjoy.",,312,475,42183
/books/OL24382014M,/works/OL1000226W,10413963,ol-cover-10413963.jpg,Skyripper,,EN,9780523485447,1983,Tom Doherty Associates,,"If you have a rough and dirty job you need done, you hire a man that has proven he has handled similar jobs with good results. Such is the case for the US government with a really rough and dirty job and it's why Tom Kelly was drafted back to working for the government to do it. Not a poof, but a 100% warrior who sees mission accomplishment as the only accepted outcome. He'll take you on a ride that'll keep you entertained and interested through the entire book. Another great story by David Drake.",,303,500,38092
/books/OL3550125M,/works/OL1000227W,9427960,ol-cover-9427960.jpg,Time safari,,EN,9780671698126,1989,Baen Books,,"What would be the ultimate trophy for the very rich? Well, if you have time travel a dinosaur head would do nicely and while you are still in the fast distant past, you could dine quite well on their steaks (probably tastes like chicken). This is what this collection of stories is all about, with a nice sprinkling of insane trophy seekers, arrogant and dangerous politicians and adventures not to be had anywhere else. A very good read by David Drake. gmb 12-31-2019",,306,500,39410
/books/OL7659980M,/works/OL1000228W,406773,ol-cover-406773.jpg,With the Lightnings,Hardcover Special Edition,EN,9780671578862,2000,Baen,,,,329,475,37570
/books/OL2844177M,/works/OL1000229W,406682,ol-cover-406682.jpg,Birds of prey,,EN,9780671559120,1984,Baen Books,,"A lot of people don't realize that David Drake studies history and that he uses events that happened in the past as plots for many of his outstanding novels. In this masterful tale, it's all in the past with a couple of additions from our far future, blended together as only he can. Take an agent for the Roman Empire who is usually given the tough jobs which require a tough man to deal with them. Add a person from the far future out to save humanity all down the time line, add some detestable bug like creatures out to swarm and destroy mankind. Throw in a few companions, pirates, dense clerical officials, traitors and a whole lot of action and you have a tale worth your time reading.",,294,475,35563
