source_key,language,original_title,original_authors,work_candidates,works_with_editions,edition_records_examined,matching_editions,cover_candidates
/books/OL12704008M,DE,Wissenschaft und Freiheit in der Risikogesellschaft. Eine grundrechtsdogmatische Untersuchung zum Normbereich von Art. 5 Abs. 3 Satz 1 des Grundgesetzes. (Schriften zum Öffentlichen Recht; SÖR 745),Ralf Kleindiek,1,1,1,0,0
/books/OL12704031M,DE,Die Zeitlichkeit des positiven Rechts und die Geschichtlichkeit des Rechtsbewusstseins,Stephan Kirste,1,1,1,0,0
/books/OL12704101M,DE,"Rechtsphilosophische Aspekte der ""Mauerschützen""-Prozesse. (Schriften zur Rechtstheorie; RT 189)",Knut Seidel,0,0,0,0,0
/books/OL12704146M,DE,"Zeitgeschichtliche Forschungen, Bd.8, Vom sozialistischen Realismus zur Kunst im Sozialismus",Ulrike Goeschen,1,1,1,0,0
/books/OL12704307M,DE,Kritik der Verfassung Deutschlands. Hegels Vermächtnis 1801 und 2001. (Beiträge zur Politischen Wissenschaft; BPW 123),Werner Mäder,1,1,2,0,0
/books/OL12705944M,DE,Welten im Kopf. Das 20. Jahrhundert- Projekt,Ingeborg Breuer,1,1,1,0,0
/books/OL12710319M,DE,Eine Liebe in Afrika. Roman zum Film.,Julia Bach,1,1,1,1,1
/books/OL12712906M,DE,Die Luft an der Spitze des Pinsels. Kritische Spaziergänge durch Bildersäle.,Willibald Sauerländer,1,1,1,1,1
/books/OL12713545M,DE,Erneuerungsversuch und Ende der Sowjetphilosophie in der Spatphase der Perestroika (Philosophische und soziologische Veroffentlichungen der Freien Universitat Berlin),Seong-Paik Lee,1,1,1,0,0
/books/OL12714639M,DE,Gemeinwohl und Gerechtigkeit.,Christian Kissling,2,2,2,0,0
/books/OL12714882M,DE,Montessori- Pädagogik in der Diskussion. Aktuelle Forschungen und internationale Entwicklungen.,Harald. Ludwig,1,1,1,0,0
/books/OL12726844M,DE,Gesprach Eines Philosophen,P Abailard,1,1,1,0,0
/books/OL12727380M,DE,"Die Kunst des Lebens. Aus seinen Werken, Briefen und Gesprächen.",Johann Wolfgang von Goethe,1,1,1,1,1
/books/OL12736098M,DE,Literatur für das Philosophiestudium.,Norbert Retlich,1,1,1,1,1
/books/OL12736136M,DE,Denker ohne Gott und Vater,Benjamin M. Schmidt,1,1,1,0,0
/books/OL12737780M,DE,"Picasso, Kokoschka und all die anderen... Meine abenteuerlichen Jahre für die Kunst.",Peter A. Ade,1,1,1,1,1
/books/OL12737815M,DE,Silber im Saum.,Katja von Glan,1,1,1,1,1
/books/OL12739173M,DE,Wissenschaftliches Arbeiten in Bibliotheken. Einführung für Studierende.,Harald Jele,2,2,3,1,1
/books/OL12741493M,DE,Allein zu sein bedarf es wenig. Ein Lesebuch für Solitäre.,Petra Reinfelder,1,1,1,0,0
/books/OL12741943M,DE,Tropfen auf kalten Stein. Roman.,Ulla Schneider,1,1,1,0,0
/books/OL12742142M,DE,Die vierte Tochter. Kriminalroman.,Krystyna Kuhn,1,1,1,1,1
/books/OL12742688M,DE,Wissen und Bewerten. Unterwegs zu einer Ethik der Naturwissenschaften.,Wedig Kolster,1,1,2,0,0
/books/OL12742758M,DE,Fluxus - Flirt - Feminismus? Carolee Schneemanns Körperkunst und die Avantgarde.,Anette Kubitza,1,1,1,0,0
/books/OL12742759M,DE,"Kunst am Computer. Ästhetik, Bildtheorie und Praxis des Computerbildes.",Karin Guminski,1,1,1,0,0
/books/OL12744172M,DE,All die schönen Sünden. Ein erotisches Lesebuch.,Bettina Hesse,1,1,1,1,1
/books/OL12765484M,DE,Das Phaenomen Zeit in Kunst Und Wissenschaft (Acta Humaniora S.),Hannelore Paflik-Huber,1,1,2,0,0
/books/OL12765494M,DE,Der Abentheuerliche Simplicissimus Teutsch Und Continuatio DES Abentheuerlichen Simplicissimi,H J Von Grimmels,1,1,1,0,0
/books/OL12765529M,DE,Peter Behrens in Duesseldorf,Gisela Moeller,1,1,1,0,0
/books/OL12766518M,DE,Vom Wasser Band V90 1998,Fachgruppe,1,1,1,0,0
/books/OL12767683M,DE,"Biographisch-Literarisches Handwoerterbuch Der Exakten Band Viii, Teil 1 Installment 3",Johann Christian Poggendorff,1,1,1,0,0
/books/OL12770204M,DE,Moral und Erziehung in der pluralistischen Gesellschaft.,Hans-Joachim Werner,1,1,2,0,0
/books/OL12770214M,DE,"Transformation, Reflexion und Heterogenität.",Andreas Küker,2,2,2,0,0
/books/OL12811674M,DE,Die Fälscherin,Beate Rygiert,1,1,2,1,1
/books/OL12811711M,DE,Zwei hinterm Limes. Roman.,Peter Untucht,1,1,1,1,1
/books/OL12812105M,DE,Der Brautmörder.,Beatrix Mannel,1,1,1,0,0
/books/OL12816356M,DE,Der Klub der sieben Raben und die Petroglyphen. UNDERGROUND- Krimi.,Margit Grassi,1,1,1,0,0
/books/OL12820289M,DE,Geschichten schreiben mit Foucault.,Jürgen Martschukat,1,1,1,1,1
/books/OL12820301M,DE,Bioethik,Johann S. Ach | Christa Runtenberg | Kurt Bayertz,2,2,3,1,1
/books/OL12822238M,DE,Einsatz Neuer Technologien Im Bibliothekswesen,Ute Krauss-Leichert,2,2,2,0,0
/books/OL12823685M,DE,"Stephen King. Das Wunder, das Böse und der Tod.",Burkhard Müller,1,1,1,1,1
/books/OL12826710M,DE,Vom Rand der Welt.,Christa Hein,1,1,1,1,1
