language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42,/works/OL1064093W,Les voix intérieures,Victor Hugo,1.0000,1837,/books/OL24197978M,Les voix intérieures,Les rayons et les ombres,fre,1.0000,,Nelson,1910,,6377744,VALID_COVER,304,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL24197978M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42,/works/OL1064094W,Marie Tudor,Victor Hugo,1.0000,1800,/books/OL23317594M,Marie Tudor,La Esmeralda.,fre,1.0000,,J. Hetzel,1800,,5796085,VALID_COVER,302,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL23317594M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42,/works/OL15202022W,Odes et ballades,Victor Hugo,1.0000,1800,/books/OL23322552M,Odes et ballades.,,fre,1.0000,,"J. Hetzel, Quantin",1888,,5756015,VALID_COVER,296,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL23322552M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42,/works/OL1064115W,Ruy Blas,Victor Hugo,1.0000,1838,/books/OL6546586M,Ruy Blas,,fre | eng,1.0000,,D.C. Heath & Co.,1894,,8245387,VALID_COVER,347,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL6546586M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100657W,Alzire,Voltaire,1.0000,1736,/books/OL23271861M,Alzire,tragédie,fre,1.0000,,Hachette,1849,,6466083,VALID_COVER,314,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL23271861M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100610W,Contes,Voltaire,1.0000,1912,/books/OL19355356M,Contes.,Edited by H.W. Preston.,fre,1.0000,,Clarendon Press,1912,,5989019,VALID_COVER,339,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL19355356M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100653W,Histoire de la guerre de 1741,Voltaire,1.0000,1756,/books/OL5396587M,Histoire de la guerre de 1741.,,fre,1.0000,,Garnier frères,1971,,10267488,VALID_COVER,310,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL5396587M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100633W,Histoire du Parlement de Paris,Voltaire,1.0000,1769,/books/OL3549601M,Histoire du Parlement de Paris,,fre,1.0000,,Chez Jean Jaques Du Fay,1769,,5812706,VALID_COVER,300,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL3549601M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL15228510W,L' œuvre de Voltaire,Voltaire,1.0000,1923,/books/OL4975016M,L' œuvre de Voltaire.,,fre,1.0000,,Bibliothèque des curieux,1923,,5805488,VALID_COVER,304,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL4975016M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100563W,La pucelle d'Orleans,Voltaire,1.0000,1755,/books/OL26452022M,La pucelle d'Orléans,"poëme, divisé en vingt chants",fre,1.0000,,Aux depens de la Compagnie,1764,,12996819,VALID_COVER,300,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL26452022M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100490W,Lettres anglaises,Voltaire,1.0000,1964,/books/OL20143096M,Lettres anglaises,,fre,1.0000,,Pauvert,1964,,14902207,VALID_COVER,252,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL20143096M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100629W,Romans,Voltaire,1.0000,1771,/books/OL23330696M,Romans.,Notices et annotations par H. Legrand.,fre,1.0000,,Larousse,1911,,6558910,VALID_COVER,316,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL23330696M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL266882W,Romans et contes,Voltaire,1.0000,1778,/books/OL5490294M,Romans et contes.,,fre,1.0000,,Gallimar,1972,,10802789,VALID_COVER,302,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL5490294M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34,/works/OL100666W,Siècle de Louis XIV,Voltaire,1.0000,1739,/books/OL6406479M,Siècle de Louis XIV,suivi de la liste raisonnée des personnages célèbres de son temps,fre,1.0000,,Charpentier et cie,1874,,11922507,VALID_COVER,300,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL6406479M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,HISTORY_SOCIETY,Robert Badinter,1,10,15,/works/OL19063006W,Cinquantième anniversaire de la Constitution française : 1958-2008,Bertrand Mathieu | AFDC | Pierre Avril | Robert Badinter | Collectif,1.0000,2008,/books/OL26718724M,Cinquantième anniversaire de la Constitution française : 1958-2008,,fre,1.0000,9782247080137,Dalloz-Sirey,"Oct 01, 2008",,8376284,VALID_COVER,330,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL26718724M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
