source_key,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,work_key,cover_image_url,editorial_decision,editorial_reason,reconstruction_state,quality_score,quality_bucket,quality_strengths,quality_weaknesses,preservation_reason,cover_rescue_required,cover_rescue_priority,metadata_rescue_score
/books/OL1737305M,Simon says,,EN,9780140360554,1993,Puffin Books,,"Being new in school is hard for Kayla, but things get even worse when she discovers the sinister hold that Simon Brewster has over the whole town of Drayton.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,26,9
/books/OL18305650M,Splendors of Islam,"architecture, decoration, and design",EN,9780865652149,2000,Vendome Press,,"""Rather than limiting itself to an exclusively historical or chronological perspective, Ornament and Decoration in Islamic Architecture presents four successive approaches to its subject. The first part offers an overview of Islamic architecture, discussing the great diversity it contains. Dealing exclusively with techniques, the second part considers the materials most often used as well as the expertise of the builders and Muslim decorative artists, and the third part explores themes in Islamic ornamentation. Section four discusses aesthetics, and studies the relationship between the buildings - the structures or their architectonic components - and their ornamental coverings."". ""Each of these topics is presented through a number of outstanding examples and then through comparable monuments from all over the Islamic world. For anyone in thrall to such great wonders as the Taj Mahal and the Alhambra, and for everyone interested in the world of Islam, this lavish publication will be indispensable.""--BOOK JACKET.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,27,9
/books/OL18521342M,"Security, territory, population","lectures at the Collège de France, 1977-78",EN,9781403986528,2007,Palgrave Macmillan,,"""Marking a major development in Foucault's thinking, this book derives from the lecture course which he gave at the College de France between January and April, 1978. Taking as his starting point the notion of ""bio-power,"" introduced both in his 1976 course Society Must be Defended and in the first volume of his History of Sexuality, Foucault sets out to study the emergence of this new technology of power over population.""--Jacket.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,28,9
/books/OL20941712M,"""I never promised you an apple orchard""","the collected writings of Snoopy , being a compendium of his puns, correspondence, cautionary tales, witticisms, titles original and borrowed, with critical commentary by his friends, and, published for the first timein its entirety, the novel ""Toodle-oo, caribou!,"" a tale of the frozen North",EN,9780030172168,1976,"Holt, Rinehart and Winston",,"Snoopy pursues his literary career, hoping to defy the dreaded second-novel slump",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,29,9
/books/OL21095370M,No talking,,EN,9781416909835,2007,Simon & Schuster Books for Young Readers,,"The noisy fifth grade boys of Laketon Elementary School challenge the equally loud fifth grade girls to a ""no talking"" contest.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,30,9
/books/OL2195053M,A vampire named Fred,,EN,9780936650111,1990,Maggie Books,,"When someone finally moves into the old, dark, musty house next door, two boys make an unusual friend.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,31,9
/books/OL22321874M,Romans,"facts, things to make, activities",EN,9780749615116,1995,Watts Books,,Describes daily life in the Roman Empire and provides instructions for related crafts projects.,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,32,9
/books/OL22551819M,Sangoma,my odyssey into the spirit world of Africa,EN,9781402761911,2008,Sterling,,"Nothing in James Hall's midwestern childhood or professional writing career had prepared him for such an unexpected life. When Hall was on assignment in Africa working with legendary singer Miriam Makeba, she perceived he had the rare gift to see both into the future and into people's souls. At her urging, Hall consulted a sangoma, a traditional healer, who told him he was possessed by ancestral spirits who could give him the power to heal others and to become a sangoma himself - if he was willing to take the risk. The risk he took required him to break with the past and embrace an uncertain future, and undergo a two-year spiritual and physical ordeal - initiation into the mysteries of psychic possession and traditional healing. His is a story never heard before, told by the first white person to complete these demanding and secret rituals. Hall's grasp of reality was shaken to the core as he was forced to surrender himself to souls from the spirit world who now use him as their liaison with the living. Hall also learned how to read meanings and messages in his set of divination bones, and began his education in the collection and preparation of plants and roots used as traditional medicines - knowledge that takes a lifetime to master. James Hall has written a candid and dramatically personal account of his unique journey from a comfortable, predictable life in Los Angeles to a harsh and uncharted one in the tiny kingdom of Swaziland. His story shows how the pieces of life can fit together to balance people and nature, the mortal and the immortal, the physical and the spiritual. Sangoma weaves together the excitement of an adventure story and the wisdom of a deeply felt memoir from a man who has blended his roles as modern American and as diviner and healer of timeless provenance.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,33,9
/books/OL22753764M,Frank Lloyd Wright,prairie houses,EN,9780847828586,2005,Rizzoli,,"""This book focuses on the particular moment in Wright's career when he was experimenting with houses. Many of these residences are canonized as classic Wright. Other examples included here add a new level or depth to the study of the Prairie house movement. As Wright's work became more popular, he was commissioned to create prototypes of houses that anyone could afford and build. The warm and inviting photographs of these Prairie houses show the many aspects of style's national appeal.""--BOOK JACKET.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,34,9
/books/OL23144306M,Spring,,EN,9781597711210,2009,Sea-to-Sea Publications,,"""A simple discussion of the changes to the weather, plants, and animals that happen during the season of spring. Includes activities""--Provided by publisher.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,35,9
